"Date","상권","공실률","공실률_예측_머신러닝","공실률_예측_딥러닝","공실률_차이_머신","공실률_차이_딥"
"2015_1","건대입구",7.2,8.5415727142,7.01840281333333,1.3415727142,0.181597186666667
"2015_1","경희대",3.1,5.05457593185714,3.92188234285714,1.95457593185714,0.821882342857143
"2015_1","공덕역",4.8,6.67372171333333,5.40141023333333,1.87372171333333,0.601410233333334
"2015_1","광화문",1.3,2.92993148233333,2.1224629,1.62993148233333,0.8224629
"2015_1","군자",8.9,8.0570661599,6.15485588,0.842933840100001,2.74514412
"2015_1","동대문",13.1,8.504031535,9.4578957,4.595968465,3.6421043
"2015_1","명동",5.7,8.4748431064,7.69697364,2.7748431064,1.99697364
"2015_1","목동",3.2,4.336601897,4.4794236,1.136601897,1.2794236
"2015_1","사당",0.8,4.27697254223077,1.88621554846154,3.47697254223077,1.08621554846154
"2015_1","서초",10.5,9.63337198955,10.514701205,0.86662801045,0.0147012049999997
"2015_1","성신여대",8.6,8.33238921383333,7.25954770833333,0.267610786166665,1.34045229166667
"2015_1","수유",6.6,8.84994883775,6.817249025,2.24994883775,0.217249025
"2015_1","신촌",8.2,12.1039830195,16.4610075,3.9039830195,8.2610075
"2015_1","영등포",10.2,9.968385053,9.72604082222222,0.231614946999999,0.473959177777777
"2015_1","용산",6.9,7.1981410532,8.09117970666667,0.298141053199999,1.19117970666667
"2015_1","이태원",8.9,9.16916719955556,9.20988255555556,0.269167199555556,0.309882555555555
"2015_1","잠실",6.8,6.9905257018,6.06573114,0.1905257018,0.73426886
"2015_1","장안동",3.9,5.56819593952381,5.25534566666667,1.66819593952381,1.35534566666667
"2015_1","종로",10.7,10.4761587821111,13.5098794444444,0.223841217888888,2.80987944444444
"2015_1","천호",4.9,6.85515430754545,5.34298311818182,1.95515430754545,0.442983118181818
"2015_1","청담",6.9,9.20687328563636,7.8300192,2.30687328563636,0.9300192
"2015_1","청량리",8.1,12.2338204,6.8539104,4.1338204,1.2460896
"2015_1","충무로",3.3,10.1712405615,6.25107135,6.8712405615,2.95107135
"2015_1","테헤란로",9.9,8.96704261172973,11.0428685783784,0.932957388270271,1.14286857837838
"2015_1","혜화동",2,4.4500764178,4.50128202,2.4500764178,2.50128202
"2015_1","홍대합정",7,6.471039394,8.06626293076923,0.528960606,1.06626293076923
"2015_1","화곡",11.7,8.46065735925,10.9164509361111,3.23934264075,0.783549063888888
"2015_2","건대입구",5.7,6.34334685673333,5.09646375333333,0.643346856733333,0.603536246666667
"2015_2","경희대",1.8,5.21344104428571,2.10402055714286,3.41344104428571,0.304020557142857
"2015_2","공덕역",6.7,7.66269848966667,6.15949916666667,0.962698489666667,0.540500833333334
"2015_2","광화문",1.5,3.237078583,2.4698702,1.737078583,0.9698702
"2015_2","군자",6.6,6.281477449,5.12244206,0.318522550999999,1.47755794
"2015_2","동대문",15.5,8.225124675,12.52827425,7.274875325,2.97172575
"2015_2","명동",5.7,9.2658482536,7.53115958,3.5658482536,1.83115958
"2015_2","목동",3.2,5.3557093605,4.702514925,2.1557093605,1.502514925
"2015_2","사당",1.9,6.51294482969231,2.87721041538462,4.61294482969231,0.977210415384616
"2015_2","서초",8.2,8.65831172605,8.037763205,0.458311726050001,0.162236794999998
"2015_2","성신여대",8.6,8.63032879941667,6.93425883333333,0.030328799416667,1.66574116666667
"2015_2","수유",16,8.59792386916667,10.9685387083333,7.40207613083333,5.03146129166667
"2015_2","신촌",8.9,15.405369325,13.51451325,6.505369325,4.61451325
"2015_2","영등포",8.3,8.75747751088889,8.7358489,0.457477510888888,0.4358489
"2015_2","용산",7.3,8.76572430353333,7.92009019333333,1.46572430353333,0.620090193333334
"2015_2","이태원",9.2,10.6320517283333,8.3904175,1.43205172833333,0.809582499999999
"2015_2","잠실",5.3,7.1538953762,4.79214472,1.8538953762,0.50785528
"2015_2","장안동",3.9,6.97630361647619,5.77695698095238,3.07630361647619,1.87695698095238
"2015_2","종로",10,9.52924574783333,11.4993534333333,0.470754252166667,1.49935343333333
"2015_2","천호",3.8,5.92642616072727,4.18329234545455,2.12642616072727,0.383292345454546
"2015_2","청담",6.9,9.62577064263636,8.38194011818182,2.72577064263636,1.48194011818182
"2015_2","청량리",9.2,10.57990719,5.6431456,1.37990719,3.5568544
"2015_2","충무로",3.3,6.3523969665,6.32643215,3.0523969665,3.02643215
"2015_2","테헤란로",9.7,8.99006260864865,10.1394782432432,0.709937391351351,0.439478243243244
"2015_2","혜화동",4.6,5.0722717906,4.31575082,0.472271790600001,0.28424918
"2015_2","홍대합정",7.5,7.53877870092308,7.17297947692308,0.0387787009230767,0.327020523076923
"2015_2","화곡",19.8,12.2066590853056,16.5435653888889,7.59334091469445,3.25643461111111
"2015_3","건대입구",5.4,7.20351113393333,5.03304720666667,1.80351113393333,0.366952793333334
"2015_3","경희대",1.3,6.21410831914286,2.30438445714286,4.91410831914286,1.00438445714286
"2015_3","공덕역",10.9,8.79034458566667,7.88416566666667,2.10965541433333,3.01583433333333
"2015_3","광화문",1.3,3.38278054666667,2.27048786666667,2.08278054666667,0.970487866666667
"2015_3","군자",6.6,6.7305119875,5.01486733,0.1305119875,1.58513267
"2015_3","동대문",15.7,14.355601315,11.19151,1.344398685,4.50849
"2015_3","명동",5.6,8.516422289,7.89427514,2.916422289,2.29427514
"2015_3","목동",2.3,5.9840374105,5.0675225,3.6840374105,2.7675225
"2015_3","사당",1.9,4.81530532792308,2.92120674615385,2.91530532792308,1.02120674615385
"2015_3","서초",3.3,7.782299713,6.126409295,4.482299713,2.826409295
