Date,Rent_pred
2015-03-01,13.058
2015-06-01,12.153
2015-09-01,12.087
2015-12-01,10.335
2016-03-01,12.26
2016-06-01,11.14
2016-09-01,10.872
2016-12-01,11.067
2017-03-01,17.68
2017-06-01,18.442
2017-09-01,20.001
2017-12-01,22.671
2018-03-01,28.724
2018-06-01,23.735
2018-09-01,26.777
2018-12-01,26.72
2019-03-01,27.363
