Y_pred,Y_real,Mean,,,,,,,,,,,,,,,
42.2186882,43.7,1.481311797,,,,Y_pred,Y_real,Mean,,스태킹 앙상블 모델을 통한 회귀예측,,,,릿지 모델을 통한 회귀예측,,,
73.11069133,69.1,4.010691333,,,,,,,,,,,,,,,
40.84409556,40.4,0.444095562,,,,,,,,,,,,,,,
27.4082199,26.3,1.108219896,,,,,,,,,,,,,,,
31.65328585,29.9,1.753285853,,,,,,,,,,,,,,,
41.39607975,49.6,8.203920249,,,,,,,,,,,,,,,
63.30964621,70.2,6.890353794,,,,,,,,,,,,,,,
38.45734505,37.4,1.057345047,,,,,,,,,,,,,,,
28.1080172,27,1.108017202,,,,,,,,,,,,,,,
52.83510684,58.7,5.86489316,,,,,,,,,,,,,,,
48.12593206,36.7,11.42593206,,,,,,,,,,,,,,,
63.00976463,70.8,7.790235373,,,,,,,,,,,,,,,
44.4583364,41.3,3.158336398,,,,,,,,,,,,,,,
46.69247551,46.9,0.207524493,,,,,,,,,,,,,,,
50.4897775,47.4,3.089777497,,,,,,,,,,,,,,,
29.69876531,30.7,1.001234691,,,,,,,,,,,,,,,
40.77574737,38.4,2.375747375,,,,,,,,,,,,,,,
45.11281336,46.9,1.787186643,,,,,,,,,,,,,,,
22.49353337,20.9,1.593533365,,,,,,,,,,,,,,,
49.7825755,54,4.2174245,,,,,,,,,,,,,,,
53.32365433,46.4,6.923654328,,,,,,,,,,,,,,,
29.81157122,29.9,0.088428777,,,,,,,,,,,,,,,
37.96350584,39,1.036494164,,,,,,,,,,,,,,,
48.26401047,45.3,2.964010472,,,,,,,,,,,,,,,
44.69006694,46.9,2.209933058,,,,,,,,,,,,,,,
42.40474525,47.7,5.29525475,,,,,,,,,,,,,,,
21.93560222,23.7,1.764397776,,,,,,,,,,,,,,,
35.03222431,37,1.967775689,,,,,,,,,,,,,,,
39.82353304,38.6,1.223533036,,,,,,,,,,,,,,,
41.75669628,38.7,3.056696282,,,,,,,,,,,,,,,
28.46389483,29.1,0.636105171,,,,,,,,,,,,,,,
27.17081778,26.2,0.970817779,,,,,,,,,,,,,,,
93.5623121,273.7,180.1376879,,,,,,,,,,,,,,,
63.03823309,69.6,6.561766909,,,,,,,,,,,,,,,
27.84873119,30.7,2.851268811,,,,,,,,,,,,,,,
36.13456424,39.2,3.065435757,,,,,,,,,,,,,,,
59.0758594,54.6,4.475859402,,,,,,,,,,,,,,,
59.34858541,69.6,10.25141459,,,,,,,,,,,,,,,
90.8102892,89,1.810289201,,,,,,,,,,,,,,,
30.50973234,26.3,4.209732341,,,,,,,,,,,,,,,
24.9740838,21,3.974083796,,,,,,,,,,,,,,,
66.58317628,69.7,3.11682372,,,,,,,,,,,,,,,
80.92306299,84.2,3.276937009,,,,,,,,,,,,,,,
43.40457966,41.5,1.904579656,,,,,,,,,,,,,,,
26.73267941,25.2,1.532679409,,,,,,,,,,,,,,,
51.75389493,49.4,2.353894932,,,,,,,,,,,,,,,
28.62223521,25,3.622235213,,,,,,,,,,,,,,,
62.17449589,68.4,6.225504106,,,,,,,,,,,,,,,
30.52295368,30.7,0.17704632,,,,,,,,,,,,,,,
80.8809345,79.7,1.180934503,,,,,,,,,,,,,,,
41.73702981,46.6,4.862970194,,,,,,,,,,,,,,,
22.6336493,23.3,0.666350697,,,,,,,,,,,,,,,
58.1025017,58.9,0.797498297,,,,,,,,,,,,,,,
25.5056356,26.1,0.594364399,,,,,,,,,,,,,,,
27.3489273,30.7,3.351072704,,,,,,,,,,,,,,,
26.44730022,26.1,0.347300218,,,,,,,,,,,,,,,
27.61623467,23.7,3.916234667,,,,,,,,,,,,,,,
38.82187252,46.2,7.378127477,,,,,,,,,,,,,,,
43.88613062,44.3,0.41386938,,,,,,,,,,,,,,,
83.91868526,84.2,0.281314739,,,,,,,,,,,,,,,
46.33165088,46.2,0.131650879,,,,,,,,,,,,,,,
49.96353899,46.2,3.763538991,,,,,,,,,,,,,,,
49.03419077,52.6,3.565809235,,,,,,,,,,,,,,,
42.84894796,46.4,3.551052042,,,,,,,,,,,,,,,
37.3569123,39.2,1.843087696,,,,,,,,,,,,,,,
49.39468223,46.9,2.494682232,,,,,,,,,,,,,,,
52.65408292,58.7,6.045917076,,,,,,,,,,,,,,,
55.08182845,68.7,13.61817155,,,,,,,,,,,,,,,
33.10560612,40.8,7.694393876,,,,,,,,,,,,,,,
36.46702431,43.5,7.032975694,,,,,,,,,,,,,,,
49.4328546,46.1,3.3328546,,,,,,,,,,,,,,,
44.38162184,46.9,2.518378162,,,,,,,,,,,,,,,
49.5592799,46.3,3.259279904,,,,,,,,,,,,,,,
64.5832977,71.2,6.616702301,,,,,,,,,,,,,,,
65.46944045,55.9,9.569440451,,,,,,,,,,,,,,,
46.88263559,53.9,7.017364409,,,,,,,,,,,,,,,
37.96043347,38.2,0.239566526,,,,,,,,,,,,,,,
52.52553424,56.1,3.574465761,,,,,,,,,,,,,,,
42.25326533,43.7,1.446734673,,,,,,,,,,,,,,,
43.61690454,53.8,10.18309546,,,,,,,,,,,,,,,
72.60387464,90.5,17.89612536,,,,,,,,,,,,,,,
26.13849404,23.3,2.838494035,,,,,,,,,,,,,,,
46.44385213,38.6,7.843852132,,,,,,,,,,,,,,,
27.83674811,21,6.836748109,,,,,,,,,,,,,,,
25.55560527,23.3,2.255605265,,,,,,,,,,,,,,,
49.79400021,54.6,4.805999791,,,,,,,,,,,,,,,
54.82985385,58.4,3.570146148,,,,,,,,,,,,,,,
58.71723997,69.6,10.88276003,,,,,,,,,,,,,,,
44.96240159,38.4,6.562401586,,,,,,,,,,,,,,,
71.49543362,65.2,6.295433616,,,,,,,,,,,,,,,
45.60866886,47.7,2.091331143,,,,,,,,,,,,,,,
58.94771559,70.3,11.35228441,,,,,,,,,,,,,,,
47.66679046,47.5,0.166790462,,,,,,,,,,,,,,,
45.98090432,46.2,0.219095682,,,,,,,,,,,,,,,
22.34136887,21,1.34136887,,,,,,,,,,,,,,,
27.81710023,30.7,2.882899773,,,,,,,,,,,,,,,
55.48312325,55.3,0.183123249,,,,,,,,,,,,,,,
29.61409611,30.7,1.085903891,,,,,,,,,,,,,,,
85.89660698,88.7,2.803393021,,,,,,,,,,,,,,,
45.48022319,46.2,0.719776809,,,,,,,,,,,,,,,
72.85987478,69.1,3.759874781,,,,,,,,,,,,,,,
32.55045087,29.8,2.750450874,,,,,,,,,,,,,,,
52.14744301,69.1,16.95255699,,,,,,,,,,,,,,,
30.12043186,26.9,3.220431859,,,,,,,,,,,,,,,
46.6640751,43.5,3.164075097,,,,,,,,,,,,,,,
47.38339308,46.1,1.283393081,,,,,,,,,,,,,,,
72.45450289,70.2,2.254502889,,,,,,,,,,,,,,,
40.74270632,46.4,5.657293682,,,,,,,,,,,,,,,
24.1763335,26.2,2.023666503,,,,,,,,,,,,,,,
47.98749858,49.5,1.512501421,,,,,,,,,,,,,,,
51.38450233,59.8,8.415497668,,,,,,,,,,,,,,,
87.29361349,83.7,3.593613486,,,,,,,,,,,,,,,
50.18939612,53.9,3.710603885,,,,,,,,,,,,,,,
48.63397828,46.2,2.433978279,,,,,,,,,,,,,,,
36.10600001,34.3,1.806000014,,,,,,,,,,,,,,,
45.32585074,46.4,1.074149255,,,,,,,,,,,,,,,
34.74215138,29.8,4.942151378,,,,,,,,,,,,,,,
45.9036434,46.4,0.496356598,,,,,,,,,,,,,,,
78.75534257,70.2,8.555342566,,,,,,,,,,,,,,,
52.0657768,50.2,1.865776799,,,,,,,,,,,,,,,
64.21938198,73.7,9.480618018,,,,,,,,,,,,,,,
54.29314443,54.7,0.406855566,,,,,,,,,,,,,,,
30.13075679,30.5,0.36924321,,,,,,,,,,,,,,,
55.61747055,56.2,0.582529454,,,,,,,,,,,,,,,
23.80521975,26.3,2.494780251,,,,,,,,,,,,,,,
79.28573247,79.7,0.414267535,,,,,,,,,,,,,,,
43.14744428,49.3,6.152555721,,,,,,,,,,,,,,,
38.29646567,36.5,1.796465669,,,,,,,,,,,,,,,
45.81847627,69.7,23.88152373,,,,,,,,,,,,,,,
25.4720599,23.7,1.7720599,,,,,,,,,,,,,,,
34.57562188,35.8,1.224378124,,,,,,,,,,,,,,,
26.55468849,26.4,0.154688494,,,,,,,,,,,,,,,
26.00188425,21,5.001884255,,,,,,,,,,,,,,,
48.78753375,46.4,2.387533753,,,,,,,,,,,,,,,
25.09625299,26.1,1.003747008,,,,,,,,,,,,,,,
53.47948874,87.2,33.72051126,,,,,,,,,,,,,,,
55.56730281,54.6,0.967302813,,,,,,,,,,,,,,,
29.32841929,27.8,1.528419287,,,,,,,,,,,,,,,
27.33823147,25.2,2.138231469,,,,,,,,,,,,,,,
49.59148545,69,19.40851455,,,,,,,,,,,,,,,
30.29719441,22.7,7.597194411,,,,,,,,,,,,,,,
28.63781895,23.7,4.937818948,,,,,,,,,,,,,,,
57.91114295,53.6,4.31114295,,,,,,,,,,,,,,,
59.78000938,68.1,8.319990618,,,,,,,,,,,,,,,
30.54110705,29.1,1.441107045,,,,,,,,,,,,,,,
65.03057089,67.5,2.469429108,,,,,,,,,,,,,,,
35.25965276,39,3.740347241,,,,,,,,,,,,,,,
50.36176697,54.9,4.538233034,,,,,,,,,,,,,,,
24.90793044,26.2,1.292069563,,,,,,,,,,,,,,,
25.41613372,23.7,1.716133724,,,,,,,,,,,,,,,
70.21711494,67.6,2.617114936,,,,,,,,,,,,,,,
48.02526358,46.6,1.425263583,,,,,,,,,,,,,,,
46.15548625,52.6,6.444513751,,,,,,,,,,,,,,,
31.51546561,26.3,5.215465614,,,,,,,,,,,,,,,
42.99146164,46.4,3.408538359,,,,,,,,,,,,,,,
38.31179179,40.4,2.088208208,,,,,,,,,,,,,,,
313.8587373,271.7,42.15873726,,,,,,,,,,,,,,,
52.08429418,46.2,5.884294182,,,,,,,,,,,,,,,
46.88025204,45.3,1.580252044,,,,,,,,,,,,,,,
23.04081606,23.7,0.65918394,,,,,,,,,,,,,,,
26.01409084,26.2,0.18590916,,,,,,,,,,,,,,,
53.32523585,56.1,2.774764146,,,,,,,,,,,,,,,
24.89209459,23.7,1.192094587,,,,,,,,,,,,,,,
52.56262803,47,5.562628031,,,,,,,,,,,,,,,
22.52103164,21,1.521031642,,,,,,,,,,,,,,,
31.56609593,33.6,2.033904074,,,,,,,,,,,,,,,
48.77220155,46.4,2.372201554,,,,,,,,,,,,,,,
37.4481472,34.9,2.548147199,,,,,,,,,,,,,,,
43.60329589,34.8,8.803295886,,,,,,,,,,,,,,,
30.07121271,29.9,0.171212714,,,,,,,,,,,,,,,
29.2111364,27.4,1.811136399,,,,,,,,,,,,,,,
48.54365197,46.9,1.643651966,,,,,,,,,,,,,,,
45.22299502,46.4,1.177004985,,,,,,,,,,,,,,,
45.34377332,47,1.656226683,,,,,,,,,,,,,,,
36.86243067,37.4,0.537569334,,,,,,,,,,,,,,,
29.178459,27.8,1.378458997,,,,,,,,,,,,,,,
25.23161356,22.7,2.531613559,,,,,,,,,,,,,,,
56.65085206,47.4,9.250852058,,,,,,,,,,,,,,,
46.89492878,44.5,2.394928779,,,,,,,,,,,,,,,
46.61925894,46.9,0.280741056,,,,,,,,,,,,,,,
88.32053807,84.6,3.72053807,,,,,,,,,,,,,,,
60.39926312,56.1,4.299263118,,,,,,,,,,,,,,,
61.80842084,57.7,4.108420836,,,,,,,,,,,,,,,
29.12947248,27.8,1.329472482,,,,,,,,,,,,,,,
62.29803962,64.2,1.901960378,,,,,,,,,,,,,,,
40.48905054,38.9,1.589050545,,,,,,,,,,,,,,,
43.81581802,47,3.184181975,,,,,,,,,,,,,,,
52.13104913,46.4,5.731049125,,,,,,,,,,,,,,,
27.32617281,26.3,1.026172814,,,,,,,,,,,,,,,
