총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,지하철_역_수,버스_정거장_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
0.143386548,0.169663189,0.117048124,-0.756471598,-0.883893232,-0.743505653,0.712200164,-0.909637451,1.693022786,1.623497305,1.700423174,2.050929361,1.658165923,1.240047047,0.423336061,1.470811974,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,15.5456428,-0.253458593,-0.20875557,3.300175908,1.029561856,-0.434919126,-0.091129144,2.588686602,4.367162817,1.230950864,1.081458891,1.312946993,0.980675145,1.222381502,1.07086391,1.164810622,0.836666597,2.152072348,1.529525555,4.7
0.209442743,0.338480469,0.084386997,-1.19353224,-1.329757214,-1.203271993,-0.515135479,-1.136726753,-0.035521195,-0.10415022,0.088046189,1.155815688,0.598870164,0.360358889,0.423336061,0.135876539,-0.28105715,-0.222359022,1.291799974,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.306800434,1.313031959,-0.434919126,-0.091129144,2.588686602,0.897208836,0.053609057,0.196130866,0.099906563,-0.058909448,0.21198443,-0.095792585,0.275953661,0.003851476,0.165079474,1.529525555,4.7
-0.321849055,-0.313314549,-0.327208448,-1.346291299,-1.339186362,-1.351054031,-0.515135479,-1.28905995,-0.353218594,-0.305432447,-0.413511813,5.315461578,4.684725233,-0.154580521,-0.515870295,0.469610397,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.119714467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,0.897208836,-0.191695178,-0.441068552,-0.181404014,-0.20757903,-0.231506889,-0.1301882,-0.466485033,-0.360836196,0.488902038,1.529525555,4.7
0.288556772,0.380345372,0.198396834,-0.948834858,-1.038800658,-0.922759792,0.193212521,-0.990035527,1.174293207,1.032959776,1.343789037,0.366009506,1.355509991,1.154223812,6.058574192,3.139481269,-0.28105715,-0.222359022,2.660292865,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,0.306800434,-0.104318555,-0.434919126,-0.091129144,-0.211478297,0.897208836,1.454596512,1.794181311,1.901508219,0.326550157,1.338389268,0.816470315,2.346952189,0.440763018,1.29735701,1.529525555,4.7
-0.541653333,-0.550287497,-0.528709964,-1.152513604,-1.209872337,-1.169063188,-0.515135479,-1.101464439,-0.305847817,-0.271636174,-0.345405516,2.156236851,1.809493888,-0.283315374,0.423336061,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.198808589,-0.434919126,-0.091129144,-0.211478297,1.591199632,-0.340558157,-0.357973987,-0.335171144,-0.338095627,-0.324999412,-0.358800036,-0.343680038,-0.372670416,-0.136714344,1.529525555,4.7
2.684600524,2.950547001,2.407330175,-1.26991177,-1.329757214,-1.279899716,-0.515135479,-1.215714336,-0.166084451,-0.18684641,-0.118120548,0.155394524,0.598870164,0.317447271,-0.515870295,0.135876539,-0.28105715,-0.222359022,0.949676752,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,-0.009828521,-0.434919126,-0.091129144,-0.211478297,1.591199632,1.209838844,1.214180526,1.35966298,0.799223934,1.516848418,0.965147449,1.366732627,0.804569525,0.762058486,1.529525555,4.7
-0.521825821,-0.517422594,-0.52150262,-1.141198118,-1.199096168,-1.166326483,-0.515135479,-1.098643454,-0.146411877,-0.068708996,-0.273603528,0.997854452,-0.157769664,-0.412050226,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,-0.104318555,-0.434919126,-0.091129144,-0.211478297,-0.143777359,-0.490778811,-0.522598258,-0.505452711,-0.433867878,-0.519103937,-0.438355358,-0.544240457,-0.44689874,-0.449522535,1.529525555,4.7
0.340438689,0.436716222,0.245527941,-0.670191018,-0.951244286,-0.614880547,-0.515135479,-0.530214952,0.139183013,0.202408893,0.018092046,1.682353142,0.447542198,1.304414473,0.423336061,-0.19785732,-0.28105715,-0.222359022,2.660292865,0.117308184,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,1.218541925,-0.434919126,-0.091129144,-0.211478297,4.020167419,0.004002278,-0.103742983,0.081204429,-0.179776287,0.109701672,-0.126209772,-0.038347826,-0.247993347,0.347918064,3.784071545,4.7
-0.318630405,-0.283665792,-0.34925623,-1.26991177,-1.321675087,-1.28263642,-0.515135479,-1.218535322,-0.369954963,-0.325022322,-0.424070929,2.156236851,2.263477785,-0.326226991,-0.515870295,0.135876539,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.387788658,-0.434919126,-0.091129144,-0.211478297,-0.143777359,-0.234918136,-0.381151812,-0.229644399,-0.236930139,-0.216796265,-0.22228703,-0.381642935,-0.36089375,0.041718497,3.784071545,4.7
-0.509597506,-0.504746172,-0.509811076,-1.257181848,-1.262406159,-1.293583238,-0.515135479,-1.229819262,-0.339418429,-0.295861821,-0.393185515,3.893810451,3.474101509,-0.540785078,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.522076575,-0.557280342,-0.540096291,-0.45580421,-0.553888709,-0.460729584,-0.581928084,-0.472970541,-0.58169501,3.784071545,4.7
