"총_유동인구_수","남성_유동인구_수","여성_유동인구_수","남성_상주인구_수","여성_상주인구_수","총_가구_수","아파트_가구_수","비_아파트_가구_수","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","집객시설_수","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","남성_매출_금액","여성_매출_금액","주중_매출_건수","주말_매출_건수","점포수","임대료_전체","공실률"
-0.382940914486087,-0.39593274287352,-0.367206855891242,-0.873869764054901,-0.834053451053688,-0.904971213086068,-0.51513547938636,-0.829239374618927,-0.32640125317319,-0.28853431039796,-0.371011371634977,-0.213181693726169,0.901526094786091,-0.283315373505483,-0.304226977085409,-0.288226424451063,-0.313760559226218,-0.267916470148202,-0.343984957556736,-0.269315169748884,-0.298673017926251,-0.249880709261198,-0.260075320768109,-0.0666470725045501,-1.37444685444059
-0.219400520720196,-0.20441138050876,-0.231815508811193,-0.929032757707781,-0.878505147193218,-0.939180018104083,-0.51513547938636,-0.864501688652837,-0.350478135533481,-0.31335812145709,-0.392129603274192,-0.00256671193056786,0.901526094786091,-0.218947947298167,-0.103288748470517,-0.0933637537044291,-0.107167711707157,-0.0894476550767379,-0.0490981167685114,-0.149443460168681,-0.097132222475721,-0.0800637211879144,-0.185177584940213,-0.0666470725045501,-1.37444685444059
0.489635776692222,0.598669882297041,0.381259335404548,0.116235250227546,0.362101281428213,0.122661289655123,3.83313937269265,-0.644464849081239,4.79316607407114,4.4834695131436,5.0133457626783,1.15581568794524,0.598870163691025,1.15422381179124,0.806574994576553,0.991963187627972,1.03878594234441,0.218162712588077,0.788370381600892,0.379810220678654,1.2586793063733,0.33258995229735,1.42512373535955,-0.0666470725045501,-1.37444685444059
-0.548467042257716,-0.573486593548287,-0.519810677741478,-0.904987350218064,-0.84752366200506,-0.969283766519937,-0.51513547938636,-0.895532525002677,-0.372206053761061,-0.326517732139038,-0.427502641269876,-1.31891034815307,-0.157769664046638,-0.347682799712799,-0.422181776939113,-0.461356510148818,-0.429478417582278,-0.38589355742347,-0.472458380475152,-0.349983296441319,-0.471186325762623,-0.415728480508526,-0.504594399500358,-0.0666470725045501,-1.37444685444059
-0.0105461882911637,0.029174626906217,-0.0483917915645467,-1.36892227119613,-1.37420891020374,-1.39620965314477,-0.51513547938636,-1.33560620414587,-0.148075726098189,-0.104000678789728,-0.215792369086749,1.57704565153644,2.71746168135648,0.0599775662668698,-0.129842085311187,-0.00363678781065915,-0.0531079559578269,-0.306497306514889,-0.193793009505375,-0.215621142813083,0.0944728151286561,-0.227680879553627,-0.271089693683976,-0.0666470725045501,-1.37444685444059
-0.556603154121,-0.56985359309835,-0.539121493075522,-1.37882332133895,-1.37420891020374,-1.40305141414838,-0.508122132850749,-1.34406915951401,1.64398816014949,1.67538804285237,1.47656991890082,2.68277430596334,0.447542198143493,-0.304771182241255,-0.359880301747309,-0.354182378624468,-0.333163574357278,-0.407269709146364,-0.394969649333094,-0.345731729483407,-0.33057043035089,-0.390365184990668,-0.418682290756595,1.52952555511972,-0.687093241988823
7.52891510433401,8.40771605739193,6.62435331839654,0.993185405734857,0.0671036615931499,1.27755054706333,1.45561489712042,1.02414785100338,2.59590587493076,2.43131795191203,2.70961066873547,2.20889059692324,1.80949388807129,4.58715320951477,4.11212056594063,3.52644463952699,4.5979954553613,2.79027252738141,4.79572577968032,3.17871616979844,3.95939578143302,2.35990316910575,8.24302057028128,1.52952555511972,-0.687093241988823
-0.30633391010018,-0.267932439371667,-0.340351414208364,-1.214748776115,-1.32302210858852,-1.25663772867127,-0.51513547938636,-1.19173596288752,-0.0577384804943324,-0.0682603725057994,-0.0352314885714636,1.26112317884304,0.29621423259596,-0.197492138562395,-0.219938216506179,-0.33921592243099,-0.200263671360404,-0.256866388784383,-0.221016270910911,-0.208391445792312,-0.324319985937623,-0.356229920287447,0.0857759887901171,1.52952555511972,-0.687093241988823
0.730869788945872,1.06016515299765,0.410055534763088,1.03137517057147,-0.295245012998777,1.52385394319305,-0.51513547938636,1.67438492178868,-0.192020930080996,-0.176228996509968,-0.206817120640083,0.523970742558434,0.750198129238558,0.982577341905067,0.529023274134444,0.583341759710248,0.511627206485047,0.546611756328489,1.0051904380255,0.178412554615138,0.572686519328512,0.578407519545625,1.27092251453742,1.52952555511972,-0.687093241988823
-0.476793123853161,-0.46609452128396,-0.482875460438281,-0.465097836729719,-0.69935134153996,-0.38636572901295,-0.452015360565859,-0.307357126917059,-0.267089908822229,-0.241279344767326,-0.294457781942824,0.471316997109534,-0.00644169849910551,-0.0902130948835344,-0.332225871606692,-0.38972387814877,-0.323626907956994,-0.33777516255468,-0.311710990454088,-0.326481029275096,-0.394469458219007,-0.359312017152802,-0.27990119201667,1.52952555511972,-0.687093241988823
0.143386548239523,0.169663188528408,0.11704812414338,-0.756471598075697,-0.883893231573767,-0.743505653401034,0.712200164345619,-0.909637450616241,1.69302278641984,1.62349730527696,1.70042317427649,2.05092936057654,1.65816592252375,1.24004704673433,1.23095086423348,1.08145889054998,1.31294699297428,0.980675145450828,1.22238150168684,1.07086391047359,1.16481062192904,0.836666596934857,2.15207234780678,1.52952555511972,-0.687093241988823
