Date,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
2017_2,436298,225587,210714,456,373,511,236,275,21235,13039,8196,137,62,85,75492636570,3078245,55668104845,19824531725,28728317514,34836287282,2251657,826588,1252,186882,3.8
2017_2,5472423,2953875,2518551,1723,1042,1991,280,1711,30736,18590,12146,141,62,241,1.86E+11,7265634,1.45E+11,41030609498,82337212620,74292755153,5553394,1712240,4018,186882,3.8
2017_2,628939,341434,287505,327,258,389,120,269,18711,10381,8330,106,59,81,78421532439,4235939,68034495117,10387037322,30158287307,25853988821,3668164,567775,880,186882,3.8
2017_2,65463,40730,24734,87,88,88,0,88,329,203,126,161,73,2,180881017,4164,140956980,39924037,62955619,87529751,3145,1019,13,269790,3.8
2017_2,111826,63149,48678,6,19,22,0,22,49,36,13,133,71,5,5052346194,268001,3423134909,1629211285,2586315609,1953023014,172663,95338,70,269790,3.8
2017_2,250383,144545,105838,76,41,91,0,91,35,14,21,142,65,12,12231105900,343624,9194981730,3036124170,5393577972,5165299666,272835,70789,296,269790,3.8
2017_2,71439,42375,29064,278,215,259,0,259,99,87,12,157,53,3,1414247213,122305,1192538857,221708356,755771677,328074364,102265,20040,33,269790,3.8
2017_2,188483,112214,76270,17,17,28,0,28,498,305,193,135,66,21,12267478174,228737,9257242199,3010235975,6112283266,4917370000,172572,56165,153,269790,3.8
2017_2,124857,54398,70459,3,0,3,0,3,329,178,151,144,62,9,13105868934,252175,10929856098,2176012836,3046057144,6263379559,217927,34248,539,269790,3.8
2017_2,562427,307712,254716,479,296,559,0,559,5114,3472,1642,132,53,88,20923158243,846363,17354012229,3569146014,10394565113,7211818357,702183,144180,430,269790,3.8
2017_2,609699,357416,252286,1011,1012,1177,0,1177,18368,12155,6213,96,57,51,33208241140,1908937,26935320702,6272920438,15970823578,11496210505,1599094,309843,586,269790,3.8
2017_2,947734,451442,496293,308,354,462,0,462,1658,790,868,91,54,24,39106236388,2270327,26196428452,12909807936,16102986156,20028622547,1546302,724025,516,114594,8.6
2017_2,268312,135889,132421,393,414,542,19,523,1491,830,661,96,49,12,6546605946,545320,4667327362,1879278584,3265652129,2865758379,383414,161906,132,114594,8.6
2017_2,133904,66497,67408,418,513,637,0,637,1338,358,980,85,64,13,3978253094,192134,3035826525,942426569,1434547399,2162210184,142753,49381,56,114594,8.6
2017_2,167632,92060,75571,487,508,611,0,611,138,83,55,101,45,3,4753633440,472181,3526868170,1226765270,2553446234,1949691088,346400,125781,139,114594,8.6
2017_2,297700,166159,131540,758,717,868,22,846,16,9,7,82,54,10,5814680722,879765,4374087899,1440592823,3228642312,2211515520,657392,222373,87,114594,8.6
2017_2,39167,17901,21266,373,396,432,0,432,2984,1327,1657,98,49,27,4802981626,288366,3244029754,1558951872,2038148655,1899880275,221089,67277,74,132769,4
2017_2,130580,68892,61690,49,514,31,0,31,36746,18217,18529,165,59,30,8381366847,488722,6547274531,1834092316,3035982036,3576794084,381427,107295,136,132769,4
2017_2,285194,138397,146796,610,688,713,16,697,3784,1916,1868,102,48,56,16559160793,1154181,13649244959,2909915834,6141758696,6876799646,1001349,152832,293,132769,4
2017_2,504237,294919,209318,56,35,63,0,63,23931,11748,12183,119,61,50,39290629585,1891048,35038871922,4251757663,15404838609,10130179603,1660368,230680,394,132769,4
2017_2,1938491,864299,1074194,83,67,107,0,107,23768,11122,12646,141,53,131,1.96E+11,9004858,1.36E+11,59944246294,63942608845,1.06E+11,6482353,2522505,2191,132769,4
2017_2,118982,68307,50674,341,270,364,0,364,2960,2152,808,117,58,30,13587336108,531676,10986352702,2600983406,5801263653,4623117521,437944,93732,205,91048,5.9
2017_2,143171,66408,76764,1134,1212,1143,7,1136,127,38,89,76,51,2,1602132276,82158,1082457046,519675230,633208815,790960396,55248,26910,85,91048,5.9
2017_2,133162,75934,57228,1773,1559,1966,0,1966,2325,1307,1018,113,57,11,6146929271,261640,4418960885,1727968386,2678665827,2983176716,203442,58198,81,91689,5.9
2017_2,165737,91059,74679,93,93,142,0,142,14028,6236,7792,122,53,39,20266303479,1428139,15469572135,4796731344,9696442656,8818905333,1109329,318810,229,91689,5.9
2017_2,247411,141442,105972,1528,1281,1658,16,1642,5661,3923,1738,107,58,17,9920423797,582391,8039710350,1880713447,4038361013,3306389445,457883,124508,171,91689,5.9
2017_2,312856,197845,115010,662,718,861,0,861,5963,3777,2186,85,50,12,13186467035,831583,10468740930,2717726105,7309436414,3081847986,660939,170644,217,98572,5.9
2017_2,75390,47457,27932,264,223,272,0,272,7830,5985,1845,118,56,33,1.39E+11,3058846,99196380532,39909334681,61574493076,48247029658,2075922,982924,1130,98572,5.9
2017_2,32133,21775,10361,260,238,271,0,271,1745,351,1394,129,61,15,5180315283,374081,4266776808,913538475,2762749408,1214429232,299717,74364,75,98572,5.9
2017_2,175408,108175,67230,205,194,305,0,305,508,240,268,113,52,16,9672569669,450405,7873583842,1798985827,4605992621,3339414215,361070,89335,131,98572,5.9
2017_2,50318,30659,19660,411,356,441,0,441,536,351,185,99,60,9,3278397670,116902,2635897727,642499943,1308656497,979936348,98242,18660,56,98572,5.9
2017_2,26486,18013,8473,86,75,64,0,64,444,357,87,132,46,3,43332797984,234683,36919528699,6413269285,17782185482,6132520249,192910,41773,427,98572,5.9
2017_2,114198,69091,45107,290,323,414,0,414,1095,697,398,93,54,7,3288382938,183846,2595128133,693254805,1475211504,854314820,151033,32813,97,98572,5.9
2017_2,72658,43672,28984,464,458,534,0,534,728,498,230,117,59,9,6203285033,353176,5004893585,1198391448,3284048748,1359001096,276100,77076,141,98572,5.9
2017_2,132812,63566,69245,462,529,535,0,535,2050,1124,926,90,53,8,6228823677,411599,4762472969,1466350708,3000751744,2460399407,286466,125133,136,169246,14.9
2017_2,408479,187753,220726,355,385,382,0,382,603,348,255,107,60,14,23415832747,897005,12078111923,11337720824,11703701651,9304283105,453535,443470,187,169246,14.9
2017_2,138983,64579,74404,260,257,276,0,276,285,153,132,113,59,2,8085739099,311589,4766805104,3318933995,3389094768,3960198691,186957,124632,171,169246,14.9
2017_2,753888,377691,376195,499,436,596,0,596,674,408,266,120,59,35,59401393277,2984695,32703922155,26697471122,28749583830,24171258465,1600252,1384443,714,169246,14.9
2017_2,1986907,950365,1036536,3207,3523,4032,27,4005,5614,3181,2433,108,57,80,1.30E+11,5754784,75400870292,54860913208,57664637586,57643433632,3248723,2506061,1821,169246,14.9
2017_2,6602,2724,3879,52,72,61,0,61,87,50,37,67,52,3,3130601095,106459,2061363796,1069237299,1194021847,1435584526,72597,33862,45,169246,14.9
2017_2,89983,41651,48335,431,421,445,0,445,65,41,24,74,45,15,8171383905,573053,4854002656,3317381249,3395565063,4161115897,342753,230300,120,151397,14.9
2017_2,121965,54921,67043,1021,1269,1314,28,1286,54,30,24,74,48,14,10365584028,613843,6511078416,3854505612,4370691028,4855624295,391760,222083,167,151397,14.9
2017_2,92466,40913,51552,363,401,382,0,382,54,29,25,80,56,4,7949058680,299751,4606301221,3342757459,3217636233,3650905057,173209,126542,108,151397,14.9
2017_2,121176,62712,58463,487,525,586,0,586,152,70,82,90,49,15,6301113854,300820,4881685842,1419428012,2667706909,3060868606,217077,83743,154,70587,12
2017_2,100074,46783,53291,1151,1179,997,106,891,4,2,2,97,60,2,1580677133,102733,1289865340,290811793,742412381,713154785,73214,29519,48,70587,12
2017_2,298623,142100,156522,1551,1684,1527,38,1489,100,47,53,95,57,7,3384611012,270125,2482265512,902345500,1458851471,1677190648,201079,69046,91,70587,12
2017_2,320853,163242,157610,879,914,911,39,872,378,224,154,97,57,8,7917972187,229598,5341649193,2576322994,4372105355,2394939609,162566,67032,149,107382,12
2017_2,324826,169438,155391,1478,1428,1381,0,1381,3994,2614,1380,107,51,34,8348980509,450917,6339536097,2009444412,3892102353,3469561211,344726,106191,209,107382,12
2017_2,132907,67064,65843,209,234,239,0,239,659,280,379,106,51,23,11853961769,450963,8460197685,3393764084,6128543493,3976878287,319754,131209,129,107382,12
2017_2,1783703,890648,893055,941,1136,1473,0,1473,2881,980,1901,74,51,47,81362622564,5111152,53999006733,27363615831,35982578855,43426479456,3408444,1702708,690,146501,2.4
2017_2,349977,186968,163010,1769,1938,2487,0,2487,369,124,245,90,42,7,7498690051,704377,5135067590,2363622461,3911146059,3042470361,481655,222722,159,146501,2.4
2017_2,45108,23865,21243,12,8,19,0,19,137,80,57,109,51,5,1835366697,68552,1337429085,497937612,836215633,973167315,49266,19286,20,146501,2.4
2017_2,278069,152232,125836,1098,1207,1766,0,1766,326,197,129,85,44,4,4931327455,366454,3495696518,1435630937,2601185943,2045237984,254824,111630,107,146501,2.4
2017_2,194711,110547,84163,1211,1167,1866,9,1857,1017,565,452,122,45,33,8027859949,805872,5748281874,2279578075,4701468071,2514777707,566460,239412,152,146501,2.4
2017_2,227938,132103,95834,673,577,792,0,792,57,30,27,92,54,1,6643552872,823551,5143656989,1499895883,3730959456,2386780226,656413,167138,117,146501,2.4
2017_2,171764,90225,81538,794,885,1028,0,1028,176,103,73,92,51,40,27489694002,1311388,19609449509,7880244493,13437780841,11011483376,943371,368017,335,80667,4
2017_2,301258,168716,132543,354,272,325,85,240,88,52,36,86,50,13,9607805386,634167,6700622652,2907182734,5027572945,3918570063,454884,179283,194,80667,4
2017_2,139739,71672,68071,2393,2487,2226,20,2206,525,255,270,98,52,23,11473726030,793384,8344258328,3129467702,5459747191,5329672653,573276,220108,209,81670,4
2017_2,107680,50488,57191,425,407,370,0,370,118,70,48,107,50,19,11217880423,575374,7815561097,3402319326,4359871873,6085555011,400945,174429,212,81670,4
2017_2,227901,118878,109026,2081,1990,2009,27,1982,206,182,24,102,43,2,1896718328,101119,1337849275,558869053,1032475173,617480061,73952,27167,83,81670,4
2017_2,217158,104696,112460,1511,1591,1305,0,1305,268,105,163,106,51,24,9137819032,363818,6808078760,2329740272,4105940818,4589495490,271000,92818,141,78171,4
2017_2,187548,97036,90515,1999,2203,1990,9,1981,531,248,283,108,50,17,7036451085,570428,5127358161,1909092924,3454028396,3170745656,427155,143273,124,78171,4
2017_2,293763,148895,144870,2668,2680,2300,59,2241,146,63,83,91,48,24,6705572634,303299,4979191903,1726380731,3004805290,3222551140,224854,78445,171,78171,4
2017_2,202568,97318,105251,1867,1980,1661,80,1581,886,503,383,77,52,1,2304186397,150141,1666900305,637286092,1230632150,897893879,106985,43156,79,78171,4
2017_2,544535,274259,270278,1699,1834,1706,15,1691,1139,628,511,77,43,27,16365550224,839184,12795708852,3569841372,7284588084,8250906316,647896,191288,371,78171,4
2017_2,168612,79359,89255,2429,2748,2663,25,2638,948,507,441,76,53,3,6510069018,282040,4577339899,1932729119,3024351809,3014805674,197893,84147,117,90346,4
2017_2,147005,67964,79042,974,999,917,0,917,95,50,45,114,46,1,5443641118,309811,3641419538,1802221580,2257016285,2671324454,209093,100718,147,94320,2.4
2017_2,220972,114449,106525,926,1015,931,0,931,389,245,144,106,49,14,7694607150,315871,5934234205,1760372945,2761317712,4626217363,245291,70580,124,94320,2.4
2017_2,113787,57590,56198,1566,1580,1439,52,1387,558,321,237,99,55,5,2034751508,96694,1441642331,593109177,980837956,626881354,66658,30036,67,94320,2.4
2017_2,459369,235096,224272,1919,2027,2053,0,2053,1423,701,722,98,44,15,8645754242,647832,6389918101,2255836141,4438320327,3701523402,469439,178393,237,94320,2.4
2017_2,159411,80873,78538,1019,1082,1063,3,1060,120,70,50,92,46,3,2563117223,148813,1641823083,921294140,1338073619,919199435,97307,51506,95,99829,2.4
2017_2,113423,55756,57668,1490,1576,1073,387,686,239,97,142,73,42,1,2600871092,134512,1798557629,802313463,1077619350,1349915841,93496,41016,71,99829,2.4
2017_2,73171,31607,41565,235,322,305,0,305,730,388,342,49,42,10,10046614015,462574,6414871197,3631742818,3326434875,5927899452,299326,163248,103,99829,2.4
2017_2,177423,87285,90142,2063,2024,1754,151,1603,97,44,53,106,61,5,2732992634,194258,1890310751,842681883,1567548533,945847467,133091,61167,87,99829,2.4
2017_2,276802,142758,134043,1726,1658,1614,81,1533,114,76,38,84,40,1,5766362718,438686,4109439394,1656923324,2535170365,2638429014,310648,128038,127,69907,7.6
2017_2,265860,158249,107612,737,627,768,50,718,12289,9719,2570,106,48,22,7071927428,366803,5694412865,1377514563,3399250139,2517825992,295002,71801,238,69907,7.6
2017_2,283392,155782,127610,1060,1041,889,293,596,3001,2113,888,103,45,9,6393791883,387552,4792612602,1601179281,2987297617,2621846674,290082,97470,171,69907,7.6
2017_2,191044,91831,99214,1331,1354,998,271,727,566,275,291,84,49,6,7639985800,516159,5345858340,2294127460,3336478721,3711030688,355240,160919,94,69907,7.6
2017_2,257581,129911,127675,1463,1511,1396,47,1349,337,193,144,112,48,3,4979357081,334127,3603524256,1375832825,2353085468,2101470717,239675,94452,130,69907,7.6
2017_2,131806,73736,58065,1464,1409,1237,409,828,341,211,130,133,53,6,3431254735,70518,2922148683,509106052,1796196137,719261757,52229,18289,100,69907,7.6
2017_2,152936,90331,62605,136,83,138,23,115,2304,1536,768,102,45,34,13947882190,799129,10790313786,3157568404,7427192692,3979834800,623691,175438,201,69907,7.6
2017_2,89517,49568,39950,1143,1144,932,273,659,825,493,332,112,43,1,2278969526,134424,1736358086,542611440,1009205921,910361333,98117,36307,61,69907,7.6
2017_2,147272,76407,70866,649,637,580,21,559,3,2,1,89,46,5,3874520813,170053,2809950962,1064569851,1710402842,1716616405,122068,47985,87,69907,7.6
2017_2,68563,36549,32015,744,734,539,247,292,185,150,35,106,43,1,3056187986,195025,2262596910,793591076,1586930317,966536331,141913,53112,70,69907,7.6
2017_2,324339,173357,150983,1701,1557,1694,58,1636,630,370,260,96,43,19,7322998331,392194,5595938746,1727059585,3778043833,2275788377,282986,109208,131,69907,7.6
2017_2,228081,117122,110958,367,358,300,18,282,1077,482,595,116,46,12,5116290709,188869,3803958256,1312332453,2233341848,2462145897,142415,46454,113,69907,7.6
2017_2,571372,290969,280400,2017,2048,2161,224,1937,526,269,257,84,45,78,42294972913,1985890,29753791576,12541181337,18867953901,19901169752,1400594,585296,604,73301,7.6
2017_2,140645,77916,62730,1026,931,755,243,512,925,397,528,94,45,12,12139854091,404922,9015419713,3124434378,4852949893,5896425566,294903,110019,155,73301,7.6
2017_2,107702,56423,51278,627,645,597,72,525,338,141,197,104,43,11,4676780193,212756,2916164397,1760615796,2758241417,1258443832,141496,71260,68,73301,7.6
2017_2,310303,158339,151964,552,482,531,27,504,158,40,118,107,46,5,4043063666,170433,2873320992,1169742674,1786253895,1885291667,121708,48725,89,73301,7.6
2017_2,159673,79660,80012,872,870,674,144,530,96,58,38,95,52,8,3856771641,251366,2872784991,983986650,1723333568,1898691322,182277,69089,104,73301,7.6
2017_2,142692,73172,69522,908,904,940,0,940,325,174,151,108,51,8,3539070790,257247,2492625460,1046445330,1926056416,1356016913,181397,75850,81,73301,7.6
2017_2,116499,57170,59329,1207,1254,933,460,473,391,129,262,90,43,6,7159231473,516437,5311245728,1847985745,3194666028,3490417961,377146,139291,79,73301,7.6
2017_2,108176,56078,52095,559,538,505,0,505,400,187,213,117,43,2,3793514213,210945,2645129231,1148384982,1743020352,1604099975,149942,61003,74,73301,7.6
2017_2,335956,167877,168081,1768,1717,1883,288,1595,979,465,514,105,46,14,5703805830,262772,4623711935,1080093895,2506176648,2158152975,201188,61584,142,68636,6.9
2017_2,187842,98188,89653,1698,1644,1876,0,1876,218,146,72,130,60,2,1106709891,94874,809363733,297346158,653439943,260687964,67940,26934,42,68636,6.9
2017_2,746068,363575,382491,171,196,250,0,250,370,173,197,84,47,10,24333018649,2062834,18249096579,6083922070,11200993813,11365334699,1569152,493682,276,97495,0.5
2017_2,94264,45430,48836,290,311,416,0,416,276,177,99,87,45,2,6543586176,398396,4973745587,1569840589,3648311637,2214972918,292816,105580,84,97495,0.5
2017_2,177389,91319,86072,509,664,859,24,835,122,50,72,109,52,14,4891157717,347157,3721267023,1169890694,2134850877,2585065119,254011,93146,134,97495,0.5
2017_2,314043,167665,146378,728,685,1037,0,1037,1474,897,577,93,63,2,5891694405,1207060,4479771745,1411922660,3354922088,2295694098,922713,284347,59,96721,0.5
2017_2,535446,279817,255633,1814,1802,1946,0,1946,215,98,117,102,55,15,9103761772,841257,6724993808,2378767964,4535528958,4258086908,633695,207562,180,96721,0.5
2017_2,94957,51057,43894,1300,1309,1494,0,1494,20,5,15,131,73,3,385415565,39023,263290053,122125512,214880272,154793362,26507,12516,31,96721,0.5
2017_2,446051,232545,213505,666,662,785,0,785,6,2,4,96,51,11,13324790993,1365313,9859419662,3465371331,6902006919,6071573093,1026407,338906,269,96721,0.5
2017_2,418090,165365,252725,937,1397,1544,0,1544,290,165,125,94,45,12,4637472095,245347,3437637281,1199834814,2185583720,2013477800,174362,70985,120,102802,9.6
2017_2,193490,94389,99100,1341,1702,1768,14,1754,587,215,372,90,52,19,7910620609,383684,5407138087,2503482522,3580574794,3892472593,272738,110946,170,102802,9.6
2017_2,180176,84661,95516,1322,1551,1249,417,832,414,213,201,84,55,6,4872910893,199806,3402427580,1470483313,2008356390,2411411723,144342,55464,91,102802,9.6
2017_2,927947,415484,512464,488,562,718,0,718,5121,3134,1987,95,48,32,49717557668,3316168,33844572684,15872984984,20235118578,27615352685,2306590,1009578,714,102802,9.6
2017_2,124129,58146,65982,497,667,637,0,637,94,44,50,94,50,10,3821560248,161356,2863633417,957926831,1511154264,2063915197,120794,40562,64,102802,9.6
2017_2,621323,254847,366473,443,819,886,0,886,983,396,587,73,44,1,5498913368,583697,4160869283,1338044085,1544264929,3618485793,471841,111856,118,102802,9.6
2017_2,180577,80760,99814,664,846,885,0,885,28,3,25,83,52,6,1791336864,112242,1252885559,538451305,833301501,695990957,78479,33763,52,75672,9.6
2017_2,573409,344843,228567,175,197,261,0,261,97,57,40,87,47,10,13472770853,822837,10423642110,3049128743,6646445699,5665735128,628027,194810,123,75672,9.6
2017_2,646199,421832,224368,390,282,478,0,478,221,157,64,92,54,6,18488190442,1520251,13609016174,4879174268,9913671290,6688785122,1127000,393251,270,75672,9.6
2017_2,130347,73519,56831,1115,1103,1150,26,1124,609,380,229,99,51,4,2279996699,226107,1725021700,554974999,1127301933,791259984,163705,62402,39,75672,9.6
2017_2,249572,122911,126659,803,847,966,0,966,3174,1150,2024,94,62,5,2610031675,293544,2041834803,568196872,1375932261,1144064881,222201,71343,45,75672,9.6
2017_2,303783,177462,126318,562,536,848,0,848,3408,2109,1299,88,49,2,12200939249,1540767,9432531099,2768408150,6147411038,4665829546,1195973,344794,130,75672,9.6
2017_2,295661,146734,148929,1647,1702,1710,56,1654,264,170,94,91,41,21,5080408936,315873,3289556300,1790852636,2802935728,1949185567,214545,101328,147,85041,10.3
2017_2,81294,41024,40268,1664,1618,1406,6,1400,434,151,283,83,55,10,1465824339,115689,1057487110,408337229,763949448,626133552,83648,32041,57,85041,10.3
2017_2,147967,69149,78820,297,323,305,86,219,438,131,307,126,59,21,17608962313,599176,12631305238,4977657075,6178923969,10415059573,424541,174635,311,85041,10.3
2017_2,82447,37075,45373,815,817,705,0,705,158,62,96,88,54,3,3745698878,226506,2653846940,1091851938,1649039676,1902541469,159549,66957,119,75716,10.3
2017_2,131362,67056,64304,1369,1374,1222,0,1222,225,69,156,103,42,8,2901336510,119541,2155942621,745393889,1339242907,1374691804,89707,29834,143,89835,10.3
2017_2,76373,38903,37468,1894,1955,1728,58,1670,834,422,412,87,40,2,2569788120,219860,1769822284,799965836,1454818200,1062830520,150735,69125,88,89835,10.3
2017_2,2091,993,1098,27,14,18,0,18,124,68,56,101,47,1,275279674,15052,193344462,81935212,112444580,154049775,10637,4415,19,89835,10.3
2017_2,138166,70421,67748,1127,1154,1090,0,1090,206,99,107,70,44,1,1217992422,69578,850096926,367895496,606508564,475840342,50016,19562,48,89835,10.3
2017_2,1614810,787485,827327,1068,1067,1390,0,1390,4125,2117,2008,89,48,84,50245308742,2763527,34156533641,16088775101,25178748587,23883109735,1910669,852858,580,89835,10.3
2017_2,232166,117725,114442,822,885,965,8,957,97,49,48,88,41,14,3236190774,176168,2320340177,915850597,1614257377,1430110318,123201,52967,133,89835,10.3
2017_2,193999,103334,90667,729,833,821,0,821,54,32,22,77,37,5,2801852699,128104,2198151235,603701464,1126578443,1047431210,91495,36609,65,89835,10.3
2017_2,91505,46823,44681,375,363,418,13,405,69,29,40,103,54,7,5948695098,240138,4426700808,1521994290,2091946655,2835001365,173034,67104,95,89835,10.3
2017_2,132178,66761,65416,400,324,480,0,480,66,30,36,110,49,22,12725389945,434880,8945782384,3779607561,6303027067,5832285205,303285,131595,253,89835,10.3
2017_2,103690,51416,52275,1514,1683,1357,0,1357,385,255,130,99,49,14,8453258547,330295,6059360390,2393898157,4385910049,3079328866,244584,85711,139,85246,3.8
2017_2,188317,93219,95098,2882,2995,2789,29,2760,485,195,290,95,59,7,4051654001,375751,2718745550,1332908451,2227458856,1659221080,254829,120922,93,85246,3.8
2017_2,355819,173939,181878,347,318,438,0,438,73,29,44,120,58,26,10962083099,387574,7648693488,3313389611,5490383058,4607902074,285694,101880,152,91133,3.8
2017_2,432917,218800,214119,293,309,359,23,336,252,108,144,87,45,39,25772932228,1332555,17322604053,8450328175,9453022230,15669592548,893232,439323,579,100930,3.8
2017_2,368713,171576,197137,334,450,547,65,482,54,19,35,91,45,29,11300881872,587799,8586512749,2714369123,4912371153,5996513530,440060,147739,222,100930,3.8
2017_2,872451,425917,446534,1760,1946,1894,26,1868,815,359,456,88,48,11,6818282271,505464,4779855552,2038426719,3402109020,3063148676,351077,154387,142,100930,3.8
2017_2,1064607,524670,539936,112,133,154,0,154,87,35,52,115,65,30,9759844259,625151,7023847189,2735997070,4298439267,5114096256,458212,166939,117,100930,3.8
2017_2,128904,55487,73416,2804,2996,2596,10,2586,19,13,6,86,53,2,2346465096,159964,1625285135,721179961,1058878743,997861358,109603,50361,79,100930,3.8
2017_2,91929,43598,48329,1294,1424,1299,0,1299,15,0,15,85,49,1,2935446344,200752,1965637178,969809166,1442351592,1315999834,136271,64481,91,100930,3.8
2017_2,5725743,2701012,3024730,1398,1352,2056,77,1979,3235,1340,1895,103,51,129,1.30E+11,7593618,89395886860,40195229268,59323486793,64230060931,5227058,2366560,1794,125850,4.2
2017_2,846520,288168,558355,539,952,1061,124,937,1297,536,761,105,46,26,46416441594,3631005,34116970124,12299471470,9442476270,34593003385,2807811,823194,1083,125850,4.2
2017_2,411075,195872,215201,247,289,201,0,201,4781,2344,2437,70,44,21,12392186954,862443,9682149985,2710036969,4663648186,6348835549,690841,171602,121,104259,5.3
2017_2,437567,233817,203750,1309,1389,1338,22,1316,1421,615,806,110,52,9,4826822998,295795,3851235230,975587768,2470053559,1358996792,221631,74164,124,104259,5.3
2017_2,379015,151977,227038,1678,1820,1564,74,1490,94,46,48,115,55,5,1387730336,114097,1024728630,363001706,650806410,500439786,84462,29635,60,104259,5.3
2017_2,353210,181621,171591,1033,1096,1158,312,846,1161,597,564,108,55,9,6096509430,405327,4789386261,1307123169,2756658805,2333766788,302431,102896,94,104259,5.3
2017_2,129912,59021,70891,391,435,465,47,418,186,96,90,54,41,9,6883867847,616122,4475745286,2408122561,2939812213,3476384121,407633,208489,136,129200,11.6
2017_2,201481,89698,111784,1173,1377,1280,33,1247,3995,2036,1959,85,46,23,7817240897,415810,6084641314,1732599583,3398069774,3493461677,317629,98181,134,129200,11.6
2017_2,397233,200174,197057,337,346,405,0,405,832,466,366,85,46,20,15277849739,844918,12014184558,3263665181,6254047299,6962249997,683274,161644,158,129200,11.6
2017_2,279111,140272,138840,246,278,268,0,268,3258,1241,2017,78,48,12,10534878228,474950,8075613645,2459264583,4061964630,4271873089,361680,113270,140,129200,11.6
2017_2,269052,137814,131239,866,998,984,51,933,4557,3104,1453,89,47,18,10473923530,616104,7558044677,2915878853,4107304477,4467573144,465367,150737,172,129200,11.6
2017_2,386980,194156,192827,1911,2221,1990,41,1949,1644,857,787,59,43,13,5812211813,373374,4346178758,1466033055,2111059088,2799403863,278970,94404,139,129200,11.6
2017_2,5957502,2815382,3142117,2421,2673,3216,122,3094,16188,7954,8234,66,45,177,3.32E+11,18853911,2.07E+11,1.25E+11,1.36E+11,1.78E+11,11996022,6857889,3803,129200,11.6
2017_2,426820,216572,210248,937,1007,1282,0,1282,1404,646,758,78,46,11,7897085401,491811,5287857384,2609228017,4036171115,3044975054,332043,159768,217,129200,11.6
2017_2,223925,97146,126779,237,274,354,0,354,21,10,11,50,44,14,12457863688,511328,7942395164,4515468524,4642705809,7158265702,333280,178048,167,129200,11.6
2017_2,173084,86959,86123,890,1034,989,39,950,844,435,409,77,43,8,3311345575,252642,2565004801,746340774,1370147781,1430691298,193251,59391,92,129200,11.6
2017_2,187947,94223,93725,762,916,879,27,852,1843,947,896,83,46,15,11585625085,350842,7875785523,3709839562,6275529009,4005802968,254717,96125,97,129200,11.6
2017_2,643781,294954,348829,81,105,144,0,144,414,246,168,74,49,25,12074328641,722265,9103462345,2970866296,4556034829,6268619854,515107,207158,225,129200,11.6
2017_2,261848,126730,135120,342,439,410,0,410,380,250,130,71,47,3,6181176073,439918,4529591570,1651584503,2839753932,2340391011,336169,103749,96,129200,11.6
2017_2,180944,90274,90671,1101,1208,804,343,461,416,149,267,87,46,15,19590548615,655435,14850736553,4739812062,6811928554,11483459179,469507,185928,282,135653,4.6
2017_2,130120,65848,64271,434,465,269,238,31,220,92,128,83,48,8,10334880797,301109,7168369326,3166511471,5199818072,3731456855,198182,102927,104,135653,4.6
2017_2,57496,28092,29406,551,557,650,27,623,238,109,129,117,52,26,9752047779,492458,7241084959,2510962820,4577810502,4431396911,363069,129389,163,126021,4.6
2017_2,22172,13686,8488,582,541,545,49,496,291,213,78,103,49,2,380198945,25594,281276142,98922803,212503429,101283542,19417,6177,11,126021,4.6
2017_2,145245,71551,73693,612,599,580,107,473,718,350,368,102,49,39,17605814320,990036,13021175432,4584638888,7243999847,9225384606,720527,269509,276,60401,4.6
2017_2,76611,38160,38454,1029,1174,1039,8,1031,334,115,219,91,42,1,935977647,34984,691037964,244939683,355589457,461908384,23378,11606,71,60401,4.6
2017_2,61160,31167,29993,1207,1278,863,86,777,108,58,50,85,42,4,1962517164,121469,1647772663,314744501,826364510,1082261909,96996,24473,53,76522,4.6
2017_2,158823,83121,75703,1853,1850,1581,29,1552,235,72,163,92,43,4,4677974821,244740,3283465651,1394509170,2392685904,1983995215,168428,76312,179,76522,4.6
2017_2,80666,40314,40353,1502,1483,1143,77,1066,113,46,67,86,54,9,5945156135,283108,4243988221,1701167914,2258909307,3280824644,194933,88175,124,76522,4.6
2017_2,152191,76390,75799,681,713,636,27,609,175,103,72,98,44,3,5153155756,144261,3397031848,1756123908,2566989668,2243816586,100224,44037,88,76522,4.6
2017_2,159374,85572,73805,1376,1362,997,232,765,544,353,191,92,44,8,3572822593,191136,2576290769,996531824,1644258105,1638151065,136522,54614,142,76522,4.6
2017_2,89536,43398,46141,1537,1504,1231,44,1187,57,30,27,93,46,3,2249578501,146962,1703051316,546527185,1216017966,831633492,104838,42124,61,80598,12.8
2017_2,146761,70034,76727,1556,1651,1365,102,1263,28,13,15,98,46,8,2323464050,166783,1716264722,607199328,1295728816,945839350,116571,50212,76,80598,12.8
