Date,상권_코드_명,총_상주인구_수
2019_1,통인시장,688
2019_1,서울 노원구 노원역_3,258
2019_1,서울 노원구 노원역_2,18
2019_1,서울 노원구 노원역_1,690
2019_1,창동역,627
2019_1,서울 강북구 수유역_3,730
2019_1,등나무근린공원 주변,191
2019_1,서울 강북구 수유역_2,2128
2019_1,서울 강북구 수유역_1,795
2019_1,서울 은평구 연신내역_3,112
2019_1,서울 은평구 연신내역_2,1059
2019_1,서울 은평구 연신내역_1,221
2019_1,서울 성북구 미아삼거리역_2,452
2019_1,서울 강북구 미아삼거리역_1,368
2019_1,서울 은평구 불광역_3,775
2019_1,서울 은평구 불광역_2,668
2019_1,서울 은평구 불광역_1,537
2019_1,미아사거리_2,90
2019_1,미아사거리_1,914
2019_1,서울 성북구 성신여대입구역,1091
2019_1,경희대학교,370
2019_1,서울 성북구 안암역,371
2019_1,혜화역 대학로_3,628
2019_1,혜화역 대학로_2,804
2019_1,혜화역 대학로_1,486
2019_1,디지털미디어시티,1576
2019_1,서울 동대문구 청량리역,2803
2019_1,서울 종로구 경복궁역_2,308
2019_1,서울 종로구 안국역_2,280
2019_1,서울 종로구 안국역_1,116
2019_1,서울 종로구 경복궁역_1,582
2019_1,서울 종로구 종로3가역_3,147
2019_1,서울 종로구 종로3가역_2,2251
2019_1,서울 동대문구 신설동역_2,418
2019_1,인사동,769
2019_1,서울 종로구 종로5가역_4,290
2019_1,서울 종로구 종로5가역_3,715
2019_1,종로구청,550
2019_1,서울 종로구 종로5가역_2,2044
2019_1,신설동역,424
2019_1,서울 동대문구 신설동역_1,306
2019_1,서울 종로구 광화문역_2,2467
2019_1,동묘앞역,873
2019_1,장안동사거리,4026
2019_1,서울 종로구 동대문역_2,584
2019_1,서울 종로구 동대문역_1,124
2019_1,동대문시장_2,27
2019_1,서울 종로구 종로5가역_1,23
2019_1,서울 종로구 종로3가역_1,193
2019_1,서울 종로구 광화문역_1,12
2019_1,종각역,3
2019_1,종각역 젊음의 거리,164
2019_1,서대문구 서대문역_1,1425
2019_1,동대문시장_1,32
2019_1,시청역_2,289
2019_1,서울시청,73
2019_1,서울 중구 을지로3가역_2,487
2019_1,서울 중구 신당역_2,286
2019_1,서대문구 서대문역_2,878
2019_1,동대문역사문화공원역,433
2019_1,서울 중구 을지로3가역_1,325
2019_1,명동거리,139
2019_1,서울 중구 신당역_1,870
2019_1,북창동,250
2019_1,서울 중구 충무로역_2,1434
2019_1,서울 강서구 송정역,2167
2019_1,장한평역_2,1406
2019_1,시청역_1,360
2019_1,왕십리역_2,531
2019_1,서울 강서구 발산역,107
2019_1,장한평역_1,206
2019_1,서울 중구 충무로역_1,773
2019_1,장한평역,1232
2019_1,서울 중구 명동역,1257
2019_1,장충동 족발거리,298
2019_1,한양시장,1037
2019_1,서울 서대문구 이대역,1753
2019_1,서울 서대문구 신촌역,2715
2019_1,서울 마포구 홍대입구역_3,191
2019_1,서울 마포구 홍대입구역_2,504
2019_1,홍익대학교 주변,4775
2019_1,서울 광진구 군자역,1740
2019_1,신촌역,1175
2019_1,강서구청,2954
2019_1,서울 마포구 홍대입구역_1,657
2019_1,서울 중구 약수역_2,53
2019_1,서울 중구 약수역_1,10
2019_1,서울 강동구 고덕역,2715
2019_1,등촌역,1292
2019_1,서울 강동구 명일역,1999
2019_1,어린이대공원역,537
2019_1,서울 마포구 공덕역_2,22
2019_1,공덕역,43
2019_1,서울 용산구 숙대입구역,487
2019_1,남영역,238
2019_1,서울 마포구 공덕역_1,599
2019_1,서울 마포구 마포역_2,3534
2019_1,서울 광진구 건대입구역_2,2009
2019_1,서울 마포구 마포역_1,844
2019_1,서울 강동구 천호역_2,4607
2019_1,서울 광진구 건대입구역_1,1027
2019_1,건대입구역,530
2019_1,서울 광진구 구의역,1871
2019_1,서울 강동구 천호역,279
2019_1,당산역_2,723
2019_1,서울 강동구 천호역_1,388
2019_1,서울 강동구 길동역,3041
2019_1,용산 전자상가_5,629
2019_1,용산 전자상가_4,346
2019_1,당산역_1,1061
2019_1,서울 광진구 강변역,198
2019_1,용산 전자상가_3,249
2019_1,서울 용산구 이태원역,876
2019_1,한남오거리,157
2019_1,목동사거리,59
2019_1,용산 전자상가_2,178
2019_1,용산구청,107
2019_1,용산 전자상가_1,1447
2019_1,국회의사당역_2,721
2019_1,서울 용산구 신용산역,390
2019_1,국회의사당역_1,145
2019_1,압구정 로데오거리_2,1313
2019_1,서울 강남구 압구정역,1865
2019_1,서울 영등포구 영등포구청역,1287
2019_1,압구정 로데오거리_1,604
2019_1,서울 강동구 둔촌동역,800
2019_1,오목교역,869
2019_1,신사동 가로수길,3852
2019_1,서울 영등포구 여의도역_2,18
2019_1,청담사거리_3,922
2019_1,영등포유통상가,518
2019_1,청담역_2,1060
2019_1,청담역_1,213
2019_1,청담사거리_2,373
2019_1,청담사거리_1,255
2019_1,서울 영등포구 여의도역_1,1359
2019_1,서울 양천구 신정네거리역_2,288
2019_1,학동사거리_2,447
2019_1,서울 영등포구 영등포시장역,1593
2019_1,학동사거리_1,415
2019_1,여의도 시범아파트앞,1445
2019_1,영등포역_3,484
2019_1,도산공원사거리_1,274
2019_1,영등포역_2,789
2019_1,문래동 주민센터,1488
2019_1,강남구 신사역_2,1041
2019_1,영등포역_1,323
2019_1,서울 강남구 강남구청역_2,757
2019_1,강남구 신사역_1,766
2019_1,서울 동작구 노량진1동_1,12
2019_1,서울 강남구 학동역_3,113
2019_1,서울 강남구 강남구청역_1,565
2019_1,잠실역,1787
2019_1,강남구 논현역_4,1932
2019_1,학동역,532
2019_1,방이동 먹자골목,1418
2019_1,서울 강남구 학동역_2,105
2019_1,서울 동작구 노량진역,1129
2019_1,삼성역_3,65
2019_1,코엑스,26
2019_1,서울 강남구 학동역_1,896
2019_1,선정릉역_2,3129
2019_1,강남구 논현역_3,78
2019_1,포스코사거리_2,700
2019_1,포스코사거리_1,2118
2019_1,신도림역,3227
2019_1,강남구 논현역_2,3931
2019_1,선정릉역_1,643
2019_1,신천역,2803
2019_1,강남구 논현역_1,1973
2019_1,삼성역_2,9
2019_1,삼정역_2,686
2019_1,삼정역_1,86
2019_1,삼성역_1,1511
2019_1,서울 강남구 선릉역_2,2167
2019_1,서울 서초구 강남역,3214
2019_1,서울 강남구 선릉역_1,676
2019_1,서울 송파구 석촌역_2,594
2019_1,선릉역_2,4251
2019_1,서울 강남구 역삼역_2,1035
2019_1,서울 송파구 석촌역_1,201
2019_1,석촌역,3
2019_1,서울 강남구 강남역_2,3089
2019_1,선릉역_1,1337
2019_1,구로역,690
2019_1,역삼역_2,393
2019_1,대림역_2,2626
2019_1,서울 강남구 역삼역_1,5470
2019_1,신대방삼거리역,1243
2019_1,서울 강남구 한티역,2102
2019_1,은마아파트입구사거리_4,370
2019_1,은마아파트입구사거리_3,303
2019_1,은마아파트입구사거리_2,17
2019_1,오류동역,3851
2019_1,서울 강남구 강남역,2548
2019_1,은마아파트입구사거리_1,188
2019_1,대림역_1,1754
2019_1,교대역_4,1002
2019_1,서울 강남구 강남역_1,3012
2019_1,방배동카페골목,2604
2019_1,교대역_3,24
2019_1,역삼역_1,2795
2019_1,교대역_2,1758
2019_1,서울 송파구 가락시장역,570
2019_1,서울 서초구 서초역,55
2019_1,서울 강남구 대치역_2,642
2019_1,서울 강남구 대치역_1,519
2019_1,뱅뱅사거리_2,2197
2019_1,보라매공원,5095
2019_1,교대역_1,2611
2019_1,개봉동 현대아파트 인근,2655
2019_1,뱅뱅사거리,1759
2019_1,뱅뱅사거리_1,1069
2019_1,서울 관악구 신림역_4,3147
2019_1,동작구 총신대입구역_1,1176
2019_1,양재역_3,1858
2019_1,동작구 총신대입구역_2,1812
2019_1,서울 서초구 남부터미널역_3,575
2019_1,서울 강남구 수서역,1480
2019_1,서울 관악구 신림역_3,1168
2019_1,서울 서초구 남부터미널역_2,1764
2019_1,구로디지탈1단지,125
2019_1,양재역,1698
2019_1,문정역,406
2019_1,매봉역,572
2019_1,서울 서초구 방배역,1227
2019_1,서울 서초구 남부터미널역_1,1204
2019_1,서울 관악구 신림역_2,1647
2019_1,서울 관악구 신림역_1,687
2019_1,양재역_2,910
2019_1,양재역_1,8
2019_1,서울 관악구 서울대입구역_2,560
2019_1,가산디지털단지역_3,1748
2019_1,구로디지털단지역,358
2019_1,서울 관악구 서울대입구역_1,6715
2019_1,관악구 사당역_1,929
2019_1,가산디지털단지역_2,681
2019_1,관악구 사당역_2,924
2019_1,가산디지털단지역_1,27
2019_1,포이사거리_1,93
2019_1,포이사거리_2,1856
2019_1,관악구 사당역_3,307
2019_1,서울 관악구 대학동_1,1689
2019_1,서울 금천구 독산1동_1,1199
2019_1,양재 화물트럭터미널앞_2,1656
2019_1,양재 화물트럭터미널앞_1,2
2019_1,서울 금천구 시흥1동_4,1566
2019_1,풍성로37가길,3088
2019_1,천호옛길,4032
2019_1,천호옛14길,2323
2019_1,천호대로219길,2208
2019_1,천호대로197길,4523
2019_1,천호대로187길,2777
2019_1,천호대로170길,4152
2019_1,천호대로162길,2704
2019_1,천중로51길,4505
2019_1,천중로39길,6690
2019_1,진황도로47길,1801
2019_1,진황도로27길,7755
2019_1,올림픽로98길,3215
2019_1,올림픽로80길,2047
2019_1,올림픽로78길,1738
2019_1,올림픽로77길,2618
2019_1,올림픽로71길,2561
2019_1,올림픽로48길,1562
2019_1,양재대로96길,3526
2019_1,양재대로95길,3619
2019_1,양재대로91길,4192
2019_1,양재대로133길,4987
2019_1,양재대로124길,4519
2019_1,양재대로116길,1521
2019_1,양재대로101길,4732
2019_1,암사길,7132
2019_1,성안로3길,4757
2019_1,성내로5길,3614
2019_1,상일로5길,1274
2019_1,상암로5길,1937
2019_1,상암로51길,3008
2019_1,상암로4길,3269
2019_1,상암로14길,3651
2019_1,명일로13길,2767
2019_1,동남로85길,2914
2019_1,동남로82길,1694
2019_1,동남로65길,2695
2019_1,구천면로42길,4286
2019_1,구천면로41길,5439
2019_1,구천면로36길,2602
2019_1,고덕로61길,1602
2019_1,고덕로25길,1531
2019_1,고덕로10길,2111
2019_1,강동대로53길,4215
2019_1,풍성로25길,1920
2019_1,오금로46길,2594
2019_1,오금로36길,2964
2019_1,오금로11길,4808
2019_1,양재대로72길,2715
2019_1,양재대로71길,1517
2019_1,양재대로64길,3669
2019_1,양재대로62길,1587
2019_1,송파대로30길,1584
2019_1,송이로36길,3364
2019_1,송이로32길,5600
2019_1,송이로23길,4454
2019_1,삼전로13길,6562
2019_1,백제고분로50길,8436
2019_1,백제고분로46길,3217
2019_1,백제고분로45길,4794
2019_1,백제고분로42길,4194
2019_1,백제고분로39길,3380
2019_1,백제고분로34길,7777
2019_1,백제고분로33길,6311
2019_1,백제고분로32길,6454
2019_1,백제고분로31길,6266
2019_1,백제고분로22길,6884
2019_1,백제고분로21길,2499
2019_1,마천로51길,3999
2019_1,동남로20길,3571
2019_1,거마로20길,3303
2019_1,학동로77길,3038
2019_1,학동로6길,1604
2019_1,학동로56길,1007
2019_1,학동로38길,1519
2019_1,테헤란로81길,415
2019_1,일원로9길,3439
2019_1,일원로3길,2386
2019_1,영동대로65길,2065
2019_1,영동대로112길,2663
2019_1,언주로81길,3491
2019_1,압구정로2길,1001
2019_1,선릉로18길,1733
2019_1,선릉로146길,2058
2019_1,선릉로133길,1549
2019_1,선릉로132길,2042
2019_1,선릉로121길,846
2019_1,삼성로75길,2533
2019_1,삼성로69길,3460
2019_1,삼성로64길,2924
2019_1,삼성로63길,4355
2019_1,삼성로57길,1730
2019_1,삼성로147길,1246
2019_1,삼성로115길,2821
2019_1,봉은사로68길,1490
2019_1,봉은사로57길,1646
2019_1,봉은사로43길,3259
2019_1,봉은사로29길,1239
2019_1,봉은사로109길,2173
2019_1,도산대로89길,1944
2019_1,도산대로81길,941
2019_1,도산대로50길,2275
2019_1,도산대로38길,1051
2019_1,도산대로30길,905
2019_1,도산대로23길,1506
2019_1,도산대로15길,694
2019_1,도곡로37길,6062
2019_1,논현로8길,3622
2019_1,논현로63길,2571
2019_1,논현로28길,77
2019_1,논현로26길,1247
2019_1,논현로159길,423
2019_1,논현로139길,1378
2019_1,논현로123길,2084
2019_1,논현로115길,3224
2019_1,논현로10길,1575
2019_1,논현로106길,2107
2019_1,남부순환로365길,2859
2019_1,개포로82길,28
2019_1,개포로28길,2068
2019_1,개포로20길,2405
2019_1,개포로17길,3678
2019_1,강남대로140길,1863
2019_1,강남대로136길,1263
2019_1,강남대로118길,1463
2019_1,서초중앙로8길,2653
2019_1,방배중앙로21길,2768
2019_1,효령로72길,2091
2019_1,효령로34길,1562
2019_1,효령로31길,1842
2019_1,효령로23길,4664
2019_1,청두곶길,3991
2019_1,주흥길,3994
2019_1,주흥15길,2694
2019_1,언남길,2091
2019_1,신반포로45길,2627
2019_1,서초대로8길,1545
2019_1,서초대로64길,1759
2019_1,서초대로4길,3519
2019_1,서초대로25길,1261
2019_1,서초대로23길,2408
2019_1,서초대로15길,2418
2019_1,사평대로57길,1219
2019_1,사평대로26길,173
2019_1,사평대로22길,1568
2019_1,사임당로17길,1089
2019_1,방배로42길,1130
2019_1,방배로35길,1599
2019_1,방배로18길,1646
2019_1,반포대로9길,1630
2019_1,바우뫼로39길,2791
2019_1,마방로2길,1505
2019_1,방배천로4안길,1197
2019_1,동산로19길,2075
2019_1,동산로10길,3519
2019_1,동광로39길,1674
2019_1,동광로1길,3406
2019_1,동광로12길,1371
2019_1,논현로27길,1813
2019_1,논현로1길,3209
2019_1,남부순환로339길,1541
2019_1,남부순환로325길,2444
2019_1,남부순환로317길,1741
2019_1,고무래로8길,1968
2019_1,강남대로8길,3665
2019_1,강남대로34길,2613
2019_1,강남대로23길,1101
2019_1,소담길,709
2019_1,원신길,1352
2019_1,양지길,1787
