"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","당월_매출_건수","점포수","공실률","임대료"
"2014_2","사당",11590620,"사당로30길",102925,878,317,81,39,4327793303,131268,125,1.5,52.3
"2014_2","사당",11590620,"관악구 사당역_2",270096,599,398,92,44,25770553798,1230410,331,1.5,52.3
"2014_2","사당",11590620,"동작대로7길",383819,2482,1518,89,45,11242241074,667325,255,1.5,52.3
"2014_2","사당",11590620,"동작대로17길",190315,1364,1292,93,39,12995367015,425094,119,1.5,52.3
"2014_2","사당",11590620,"사당로20길",76828,1882,160,107,41,1315127424,89880,45,1.5,52.3
"2014_2","사당",11590620,"사당로26길",100199,2196,236,78,35,1138617123,133531,51,1.5,52.3
"2014_2","사당",11620630,"남현3길",379454,970,675,92,48,5490559281,344772,92,1.5,52.3
"2014_2","사당",11620630,"남현길",212577,1428,230,89,45,3611224885,306984,67,1.5,52.3
"2014_2","사당",11620630,"승방길",120203,3050,479,80,45,3254421835,125339,50,1.5,52.3
"2014_2","사당",11650610,"서초대로4길",320121,3038,790,86,46,6370246768,442535,109,1.5,52.3
"2014_2","사당",11650610,"방배천로4안길",75105,928,1801,85,45,4095523963,138352,144,1.5,52.3
"2014_2","사당",11650610,"서초대로8길",152317,4722,242,110,58,276658739,30141,14,1.5,52.3
"2014_2","사당",11650610,"청두곶길",272872,2796,2076,75,41,2133574429,125338,85,1.5,52.3
"2014_2","사당",11650610,"관악구 사당역_1",516577,702,4260,85,45,33891326072,1219343,384,1.5,52.3
"2014_2","서초",11650510,"교대역_2",1031448,1956,3036,82,43,32988972820,2011417,431,6.4,29.5
"2014_2","서초",11650510,"서초중앙로8길",379770,2949,5818,94,41,4789663455,226643,90,6.4,29.5
"2014_2","서초",11650510,"남부순환로339길",121720,1410,11036,95,39,7117862165,395712,109,6.4,29.5
"2014_2","서초",11650510,"서울 서초구 남부터미널역_3",554628,894,1797,87,43,11664541611,498196,158,6.4,29.5
"2014_2","서초",11650510,"서초대로64길",90964,1084,512,97,43,2470421415,138393,45,6.4,29.5
"2014_2","서초",11650510,"사임당로17길",283239,1194,1474,82,43,4919377038,188778,94,6.4,29.5
"2014_2","서초",11650510,"서울 서초구 남부터미널역_1",339156,1022,675,112,48,37427550979,757896,553,6.4,29.5
"2014_2","서초",11650530,"남부순환로325길",660449,1676,7835,101,42,11334235327,600998,148,6.4,29.5
"2014_2","서초",11650530,"반포대로9길",114818,799,709,93,39,4312877009,173759,110,6.4,29.5
"2014_2","서초",11650530,"서울 서초구 남부터미널역_2",798905,3364,9774,90,41,27929320393,1717933,457,6.4,29.5
"2014_2","서초",11650530,"서울 서초구 서초역",225400,71,10956,86,51,6897284297,359617,74,6.4,29.5
"2014_2","서초",11650530,"교대역_3",344192,60,4450,86,42,9072794627,406255,152,6.4,29.5
"2014_2","서초",11650530,"남부순환로317길",345210,1110,1564,109,44,7060954527,426342,107,6.4,29.5
"2014_2","서초",11650531,"서울 강남구 강남역_2",1898418,3154,6649,86,41,142119133212,5841766,1123,6.4,29.5
"2014_2","서초",11650531,"교대역_4",1013125,520,4800,86,49,32469857143,1186695,389,6.4,29.5
"2014_2","서초",11650520,"뱅뱅사거리",812578,1569,10410,86,41,22752798116,1215904,411,6.4,29.5
"2014_2","서초",11650520,"효령로72길",221424,1886,209,87,35,6261371810,288251,108,6.4,29.5
"2014_2","서초",11650520,"양재역_3",1060726,2028,3225,86,40,27920602062,1184360,504,6.4,29.5
"2014_2","서초",11650520,"서울 강남구 강남역_1",1308732,2413,136211,75,40,43340908252,2905376,653,6.4,29.5
"2014_2","서초",11650530,"교대역_1",1491757,1393,13593,86,42,71829412598,3227749,1041,6.4,29.5
"2014_2","성신여대",11290575,"동소문로15길",221976,670,63,91,48,4190437070,150731,67,9.5,41.4
"2014_2","성신여대",11290575,"동소문로26가길",308311,1356,262,87,40,4193715379,260929,141,9.5,41.4
"2014_2","성신여대",11290575,"동소문로13길",247084,1526,763,85,48,3853889899,168084,89,9.5,41.4
"2014_2","성신여대",11290575,"보문로32길",424727,1262,890,73,40,4724054793,454679,124,9.5,41.4
"2014_2","성신여대",11290575,"서울 성북구 성신여대입구역",856707,437,4894,92,43,49028870819,2703615,762,9.5,41.4
"2014_2","성신여대",11290575,"아리랑로4길",227524,2322,673,85,47,6740228115,234506,185,9.5,41.4
"2014_2","성신여대",11290600,"인촌로5길",149999,1204,25,87,46,1962679652,212837,48,9.5,41.4
"2014_2","성신여대",11290600,"인촌로24길",379377,566,287,90,49,21175165051,1283294,272,9.5,41.4
"2014_2","성신여대",11290600,"서울 성북구 안암역",250041,255,64,86,44,11703106052,625440,128,9.5,41.4
"2014_2","성신여대",11290600,"인촌로17가길",208398,1143,2881,92,59,2784105767,221949,46,9.5,41.4
"2014_2","성신여대",11290600,"안암로5길",110061,1625,564,93,49,1448490861,177640,35,9.5,41.4
"2014_2","성신여대",11290600,"개운사길",199095,826,2651,81,44,12340460616,1224394,146,9.5,41.4
"2014_2","수유",11305610,"삼양로77길",246932,1732,347,83,45,977244720,75930,52,6.8,58.6
"2014_2","수유",11305610,"수유로12길",160734,1010,230,85,38,3656063709,191318,155,6.8,58.6
"2014_2","수유",11305610,"수유전통시장",200580,292,461,114,54,14391680917,431144,307,6.8,58.6
"2014_2","수유",11305620,"우이시장",114523,706,151,86,50,3230610428,180602,118,6.8,58.6
"2014_2","수유",11305620,"노해로33길",98243,974,27,113,44,426368318,21925,41,6.8,58.6
"2014_2","수유",11305630,"노해로17길",215591,1260,177,95,37,3812688535,180026,150,6.8,58.6
"2014_2","수유",11305630,"서울 강북구 수유역_2",1254559,814,3838,83,44,45545178074,2225561,642,6.8,58.6
"2014_2","수유",11305630,"한천로139가길",205406,488,44,70,34,1969513132,79158,71,6.8,58.6
"2014_2","수유",11305630,"한천로140길",194943,748,124,89,35,2726745319,120352,142,6.8,58.6
"2014_2","수유",11305630,"삼각산로28길",136713,1839,761,76,36,1582501084,93500,92,6.8,58.6
"2014_2","수유",11305630,"도봉로99길",179146,1240,163,76,33,1057327096,55399,46,6.8,58.6
"2014_2","수유",11305630,"수유중앙시장",14811,17,143,102,33,344889757,14045,16,6.8,58.6
"2014_2","수유",11305630,"강북종합시장",73660,316,50,93,50,4570024382,179865,104,6.8,58.6
"2014_2","수유",11305630,"서울 강북구 수유역_3",237635,203,50,103,45,13211090059,374007,287,6.8,58.6
