Date,상권,행정동_코드,공실률
2014_4,이태원,11170660,9.1
2014_4,잠실,11710650,9.2
2014_4,잠실,11710670,9.2
2014_4,잠실,11710680,9.2
2014_4,잠실,11710690,9.2
2014_4,잠실,11710710,9.2
2014_4,잠실,11710720,9.2
2014_4,장안동,11230650,2.6
2014_4,장안동,11230660,2.6
2014_4,천호,11740600,3.4
2014_4,천호,11740610,3.4
2014_4,천호,11740620,3.4
2014_4,청량리,11230705,8.1
2014_4,혜화동,11110650,3.1
2014_4,화곡,11500540,17.9
2014_4,화곡,11500550,17.9
2014_4,화곡,11500560,17.9
2014_4,화곡,11500570,17.9
2014_4,화곡,11500590,17.9
2014_4,화곡,11500591,17.9
2014_4,화곡,11500615,17.9
2014_4,화곡,11500593,17.9
2015_1,광화문,11110530,1.3
2015_1,동대문,11110670,13.1
2015_1,명동,11140550,5.7
2015_1,종로,11110615,10.7
2015_1,종로,11110630,10.7
2015_1,충무로,11140570,3.3
2015_1,서초,11650510,10.5
2015_1,서초,11650520,10.5
2015_1,서초,11650530,10.5
2015_1,서초,11650531,10.5
2015_1,청담,11680565,6.9
2015_1,테헤란로,11680640,9.9
2015_1,테헤란로,11680650,9.9
2015_1,테헤란로,11680630,9.9
2015_1,테헤란로,11680610,9.9
2015_1,테헤란로,11680580,9.9
2015_1,테헤란로,11680590,9.9
2015_1,공덕역,11440565,4.8
2015_1,신촌,11410585,8.2
2015_1,영등포,11560535,10.2
2015_1,영등포,11560515,10.2
2015_1,홍대합정,11440660,7
2015_1,건대입구,11215710,7.2
2015_1,건대입구,11215840,7.2
2015_1,건대입구,11215820,7.2
2015_1,경희대,11230710,3.1
2015_1,경희대,11230740,3.1
2015_1,군자,11215780,8.9
2015_1,군자,11215730,8.9
2015_1,군자,11215740,8.9
2015_1,군자,11215750,8.9
2015_1,목동,11470510,3.2
2015_1,목동,11470520,3.2
2015_1,목동,11470530,3.2
2015_1,목동,11470540,3.2
2015_1,목동,11470550,3.2
2015_1,사당,11590620,0.8
2015_1,사당,11650610,0.8
2015_1,사당,11620630,0.8
2015_1,성신여대,11290575,8.6
2015_1,성신여대,11290600,8.6
2015_1,수유,11305610,6.6
2015_1,수유,11305620,6.6
2015_1,수유,11305630,6.6
2015_1,용산,11170530,6.9
2015_1,용산,11170520,6.9
2015_1,용산,11170625,6.9
2015_1,용산,11170690,6.9
2015_1,이태원,11170650,8.9
2015_1,이태원,11170660,8.9
2015_1,잠실,11710650,6.8
2015_1,잠실,11710670,6.8
2015_1,잠실,11710680,6.8
2015_1,잠실,11710690,6.8
2015_1,잠실,11710710,6.8
2015_1,잠실,11710720,6.8
2015_1,장안동,11230650,3.9
2015_1,장안동,11230660,3.9
2015_1,천호,11740600,4.9
2015_1,천호,11740610,4.9
2015_1,천호,11740620,4.9
2015_1,청량리,11230705,8.1
2015_1,혜화동,11110650,2
2015_1,화곡,11500540,11.7
2015_1,화곡,11500550,11.7
2015_1,화곡,11500560,11.7
2015_1,화곡,11500570,11.7
2015_1,화곡,11500590,11.7
2015_1,화곡,11500591,11.7
2015_1,화곡,11500615,11.7
2015_1,화곡,11500593,11.7
2015_2,광화문,11110530,1.5
2015_2,동대문,11110670,15.5
2015_2,명동,11140550,5.7
2015_2,종로,11110615,10
2015_2,종로,11110630,10
2015_2,충무로,11140570,3.3
2015_2,서초,11650510,8.2
2015_2,서초,11650520,8.2
2015_2,서초,11650530,8.2
2015_2,서초,11650531,8.2
2015_2,청담,11680565,6.9
2015_2,테헤란로,11680640,9.7
2015_2,테헤란로,11680650,9.7
