총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
315163,561,360,127,50,7070713579,218,33.3,12.7
259088,871,60,107,40,7984123756,177,33.3,12.7
316742,404,867,106,44,4247529500,105,33.3,12.7
1816977,890,4144,92,51,1.28E+11,1932,33.3,12.7
896506,273,1036,103,53,30062084768,599,33.3,12.7
400222,645,124,81,46,1056547751,64,23.7,9.4
165846,260,4154,117,54,13420135858,212,23.7,9.4
244199,807,4903,108,53,7103311597,158,23.7,9.4
206899,882,2374,114,51,3009229978,75,23.7,9.4
84629,0,14157,110,49,16494384646,235,23.7,9.4
276199,172,693,114,53,6029510022,146,23.7,9.4
183174,150,384,101,53,1887622755,50,23.7,9.4
367117,120,298,113,44,5294707724,128,23.7,9.4
129020,104,1801,123,53,3844077184,71,23.7,9.4
58401,201,8984,100,50,1.35E+11,1335,23.7,9.4
52680,110,444,118,41,30585562472,499,23.7,9.4
392021,238,5995,97,45,3376875410,84,23.7,9.4
551276,806,4766,79,47,10175298590,242,23.7,9.4
61157,1712,476,114,64,797491981,25,23.7,9.4
