Date,상권_코드_명,총_유동인구_수
2014_2,한천로46길,275117
2014_2,휘경로14길,176015
2014_2,휘경로23길,354072
2014_2,휘경로2길,194931
2014_2,휘경로3길,780320
2014_2,겸재로29길,373396
2014_2,겸재로36길,415531
2014_2,겸재로54길,343028
2014_2,공릉로12가길,93455
2014_2,공릉로2길,453241
2014_2,답십리로75길,164807
2014_2,동일로100길,360472
2014_2,동일로101길,266479
2014_2,동일로112길,451257
2014_2,동일로123길,312325
2014_2,동일로130길,292703
2014_2,동일로139가길,382450
2014_2,동일로139길,184010
2014_2,동일로140길,216355
2014_2,동일로149길,138319
2014_2,동일로157길,374658
2014_2,동일로163길,214978
2014_2,망우로68길,250774
2014_2,망우로73길,126205
2014_2,면목로21길,151607
2014_2,면목로33길,449584
2014_2,면목로45길,261119
2014_2,면목로48길,265675
2014_2,면목로49길,275417
2014_2,면목로55길,302973
2014_2,면목로56길,388262
2014_2,면목로78길,275474
2014_2,봉우재로33길,325693
2014_2,봉화산로30길,198105
2014_2,봉화산로4길,158660
2014_2,봉화산로56길,771622
2014_2,사가정로42길,406891
2014_2,사가정로54길,270509
2014_2,신내로7가길,185962
2014_2,용마산로100길,241407
2014_2,용마산로112길,198643
2014_2,용마산로118길,252305
2014_2,용마산로94길,283415
2014_2,중랑천로10길,220393
2014_2,길음로7길,175743
2014_2,돌곶이로14길,78538
2014_2,돌곶이로22길,210795
2014_2,돌곶이로27길,251239
2014_2,돌곶이로28길,211979
2014_2,돌곶이로41길,120950
2014_2,돌곶이로8길,82672
2014_2,동소문로13길,247084
2014_2,동소문로15길,221976
2014_2,동소문로26가길,308311
2014_2,동소문로2길,128594
2014_2,동소문로6길,111851
2014_2,보국문로16길,181233
2014_2,보문로13길,426414
2014_2,보문로26길,134970
2014_2,보문로31길,199757
2014_2,보문로32길,424727
2014_2,삼선교로10길,308596
2014_2,삼선교로10다길,90680
2014_2,삼선교로16가길,238578
2014_2,삼양로8길,266558
2014_2,성북로8길,64464
2014_2,솔샘로6길,108229
2014_2,아리랑로4길,227524
2014_2,안암로5길,110061
2014_2,오패산로19길,317435
2014_2,오패산로3길,557302
2014_2,오패산로4길,354716
2014_2,인촌로17가길,208398
2014_2,인촌로1길,211177
2014_2,개운사길,199095
2014_2,인촌로24길,379377
2014_2,인촌로5길,149999
2014_2,인촌로6길,125644
2014_2,장월로1길,126744
2014_2,장위로50길,227643
2014_2,정릉로26길,67935
2014_2,정릉로27길,145673
2014_2,정릉로8길,43743
2014_2,종암로16길,249306
2014_2,종암로19길,163322
2014_2,종암로21길,89531
2014_2,종암로24가길,183797
2014_2,종암로5길,159751
2014_2,지봉로20길,343372
2014_2,창경궁로43길,91534
2014_2,한천로101가길,208215
2014_2,한천로76길,235062
2014_2,화랑로13길,112859
2014_2,화랑로14길,149608
2014_2,화랑로19길,377047
2014_2,화랑로1길,227795
2014_2,화랑로32길,162654
2014_2,화랑로40길,137000
2014_2,노해로17길,215591
2014_2,노해로23길,116241
2014_2,노해로33길,98243
2014_2,덕릉로40길,202727
2014_2,덕릉로41길,257127
2014_2,도봉로13길,276468
2014_2,도봉로18길,239789
2014_2,도봉로45길,332040
2014_2,도봉로67길,155729
2014_2,도봉로76길,213579
2014_2,도봉로8길,87230
2014_2,도봉로99길,179146
2014_2,삼각산로28길,136713
2014_2,삼양로20길,175188
2014_2,삼양로24길,314359
2014_2,삼양로27길,82303
2014_2,삼양로41길,305026
2014_2,삼양로54길,155517
2014_2,삼양로77길,246932
2014_2,삼양로93길,221264
2014_2,솔매로41길,196536
2014_2,솔매로45길,224336
2014_2,솔매로50길,379519
2014_2,솔샘로65길,406609
2014_2,수유로12길,160734
2014_2,오패산로30길,126592
2014_2,오패산로52길,207288
2014_2,오패산로67길,606764
2014_2,인수봉로56길,158742
2014_2,인수봉로72길,170466
2014_2,인수봉로79길,81909
2014_2,한천로109길,250721
2014_2,한천로124나길,424142
2014_2,한천로130길,242500
2014_2,한천로132길,442582
2014_2,한천로139가길,205406
2014_2,한천로140길,194943
2014_2,노해로60길,331032
2014_2,노해로63다길,173493
2014_2,덕릉로60길,144033
2014_2,도당로13가길,120198
2014_2,도당로13바길,281850
2014_2,도당로19길,304506
2014_2,도당로29길,181634
2014_2,도봉로109길,182851
2014_2,도봉로114길,538672
2014_2,도봉로143길,155379
2014_2,도봉로147길,330699
2014_2,도봉로152가길,85661
2014_2,도봉로156길,104482
2014_2,도봉로169나길,161806
2014_2,도봉로181길,111049
2014_2,도봉산4길,17977
2014_2,도봉산길,90387
2014_2,방학로10길,178320
2014_2,방학로15길,154465
2014_2,방학로5길,155340
2014_2,방학로6가길,211418
2014_2,삼양로144길,82991
2014_2,시루봉로23길,205991
2014_2,우이천로32길,202464
2014_2,우이천로4다길,146442
2014_2,해등로16길,71166
2014_2,공릉로58길,89327
2014_2,동일로173가길,337803
2014_2,동일로192길,200853
2014_2,동일로242길,142934
2014_2,상계로12길,256612
2014_2,상계로1길,215214
2014_2,상계로9가길,199294
2014_2,석계로1길,162565
2014_2,한글비석로22길,333588
2014_2,한글비석로24길,261758
2014_2,한글비석로44길,353572
2014_2,가좌로7길,226629
2014_2,갈현로1길,164721
2014_2,갈현로33길,241015
2014_2,갈현로41길,154502
2014_2,갈현로7길,116641
2014_2,불광천길,443065
2014_2,서오릉로21길,195184
2014_2,서오릉로8길,125747
2014_2,수색로18길,144820
2014_2,역말로9길,206011
2014_2,연서로11길,367380
2014_2,연서로13길,166259
2014_2,연서로16길,319586
2014_2,연서로17길,264069
2014_2,연서로21길,249814
2014_2,연서로27길,162948
2014_2,연서로28길,439151
2014_2,연서로29길,156274
2014_2,연서로33길,172393
2014_2,연서로34길,140688
2014_2,연서로3길,219661
2014_2,연서로41길,154803
2014_2,연서로5길,441006
2014_2,은평로10길,212973
2014_2,은평로13길,253594
2014_2,은평로20길,81106
2014_2,은평로3길,206796
2014_2,은평로8길,287186
2014_2,응암로12길,214984
2014_2,응암로13길,174142
2014_2,응암로14길,163550
2014_2,응암로22길,233813
2014_2,응암로34길,164510
2014_2,증산로13길,258140
2014_2,증산로15길,71002
2014_2,증산로17길,187115
2014_2,증산로21길,116926
2014_2,증산로5길,77833
2014_2,증산로9길,161189
2014_2,증산서길,115180
2014_2,진흥로12길,339884
2014_2,진흥로1길,264576
2014_2,통일로69길,86787
2014_2,통일로78길,67696
2014_2,통일로87길,232030
2014_2,통일로92길,133929
2014_2,가재울로6길,214838
2014_2,독립문로8길,404648
2014_2,명지대길,214397
2014_2,모래내로15길,128404
2014_2,북아현로4길,408817
2014_2,세검정로1길,269186
2014_2,세무서2길,267072
2014_2,세무서길,543989
2014_2,수색로8길,140141
2014_2,신촌로37길,148794
2014_2,연희로10길,122269
2014_2,응암로1길,256402
2014_2,증가로10길,406465
2014_2,증가로20가길,255087
2014_2,증가로23나길,370482
2014_2,증가로6길,221511
2014_2,충정로4길,112753
2014_2,충정로6길,279976
2014_2,통일로11길,84033
2014_2,통일로37길,346299
2014_2,통일로39길,358057
2014_2,홍연길,121201
2014_2,홍제내길,115217
2014_2,광성로6길,190356
2014_2,대흥로21길,362921
2014_2,대흥로28길,292276
2014_2,도화4길,231260
2014_2,도화길,715510
2014_2,독막로22길,184772
2014_2,독막로32길,194942
2014_2,독막로8길,216914
2014_2,동교로17길,203560
2014_2,동교로19길,217598
2014_2,동교로25길,124105
2014_2,동교로27길,168174
2014_2,동교로38길,131646
2014_2,마포대로12길,166073
2014_2,마포대로20길,344032
2014_2,마포대로4길,285901
2014_2,만리재옛길,452187
2014_2,망원로11길,165925
2014_2,망원로2길,273506
2014_2,매봉산로2길,272198
2014_2,모래내로7길,147516
2014_2,방울내로9안길,729003
2014_2,백범로16길,416487
2014_2,성미산로11길,238946
2014_2,성미산로1길,291886
2014_2,성미산로32길,90737
2014_2,성산로4길,194039
2014_2,성지3길,204648
2014_2,숭문8길,223011
2014_2,숭문길,242787
2014_2,신촌로12길,286268
2014_2,신촌로28가길,199785
2014_2,신촌로30길,86022
2014_2,양화로11길,119040
2014_2,양화로1길,170351
2014_2,양화진길,209957
2014_2,와우산로29가길,180721
2014_2,와우산로29길,118978
2014_2,와우산로3길,165241
2014_2,월드컵로10길,488785
2014_2,월드컵로11길,131652
2014_2,월드컵로16길,327552
2014_2,월드컵로19길,290765
2014_2,월드컵로25길,526308
2014_2,월드컵로36길,306301
2014_2,월드컵로7길,132170
2014_2,월드컵로8길,263822
2014_2,토정로37길,181236
2014_2,효창원로93길,299803
2014_2,가로공원로58길,132565
2014_2,곰달래로10길,292059
2014_2,곰달래로2길,184149
2014_2,곰달래로3길,335391
2014_2,곰달래로5길,222371
2014_2,남부순환로33길,181013
2014_2,남부순환로40길,241995
2014_2,남부순환로58길,87336
2014_2,남부순환로70길,243115
2014_2,남부순환로79길,260984
2014_2,남부순환로88길,33754
2014_2,목동남로4길,55553
2014_2,목동동로12길,314628
2014_2,목동동로8길,194382
2014_2,목동로19길,386131
2014_2,목동로9길,506320
2014_2,목동중앙남로3가길,95480
2014_2,목동중앙로13나길,29358
2014_2,목동중앙로3길,184212
2014_2,목동중앙본로7길,109992
2014_2,목동중앙북로16길,102870
2014_2,목동중앙북로8길,100161
2014_2,목동중앙서로7길,276010
2014_2,목동중앙서로8가길,108877
2014_2,신목로2길,240224
2014_2,신목로5길,323496
2014_2,신목로6길,306166
2014_2,신월로15길,425224
2014_2,신월로20길,111486
2014_2,오목로23길,178684
2014_2,오목로30길,218745
2014_2,오목로3길,206639
2014_2,오목로5길,210610
2014_2,은행정로5길,127944
2014_2,은행정로7길,547042
2014_2,중앙로25길,147837
2014_2,중앙로32길,389683
2014_2,중앙로36길,161308
2014_2,중앙로45길,246539
2014_2,중앙로47길,222023
2014_2,중앙로51길,495261
2014_2,중앙로55길,234041
2014_2,지양로7길,208118
2014_2,화곡로3길,142683
2014_2,화곡로4길,318740
2014_2,가로공원로76가길,179499
2014_2,가로공원로80길,206849
2014_2,강서로15길,377320
2014_2,강서로17가길,212848
2014_2,강서로18길,480181
2014_2,강서로29길,385709
2014_2,강서로35길,164825
2014_2,강서로45길,163096
2014_2,강서로45다길,196809
2014_2,강서로47길,304181
2014_2,강서로47라길,359474
2014_2,강서로5가길,192474
2014_2,강서로5나길,94066
2014_2,강서로5라길,262731
2014_2,강서로8길,239550
2014_2,개화동로23길,268201
2014_2,개화동로25길,143466
2014_2,곰달래로25길,123963
2014_2,곰달래로31길,208196
2014_2,곰달래로47길,173436
2014_2,곰달래로53길,275933
2014_2,곰달래로60길,115525
2014_2,공항대로38길,129908
2014_2,공항대로42길,175833
2014_2,공항대로55길,74297
2014_2,공항대로59길,143534
2014_2,공항대로59다길,275175
2014_2,공항대로61길,162204
2014_2,공항대로8길,200534
2014_2,국회대로7길,142503
2014_2,까치산로4길,247600
2014_2,남부순환로11길,242195
2014_2,등촌로13길,295453
2014_2,등촌로39길,280829
2014_2,등촌로51길,208220
2014_2,등촌로55길,153389
2014_2,등촌로5길,189851
2014_2,방화대로21길,303498
2014_2,방화대로6라길,99052
2014_2,양천로14길,209657
2014_2,양천로24가길,181681
2014_2,양천로24길,203158
2014_2,양천로26길,38105
2014_2,양천로49길,227559
2014_2,양천로71길,394011
2014_2,양천로73가길,320852
2014_2,우장산로6길,546002
2014_2,월정로20길,84706
2014_2,초록마을로3길,335374
2014_2,초록마을로8길,251546
2014_2,초원로16길,160112
2014_2,화곡로13길,223269
2014_2,화곡로20길,246517
2014_2,화곡로31길,315750
2014_2,화곡로44나길,260034
2014_2,화곡로59길,222122
2014_2,화곡로64길,221292
2014_2,개봉로11길,181521
2014_2,개봉로17길,256973
2014_2,개봉로17다길,139012
2014_2,개봉로1길,178507
2014_2,개봉로20길,374966
2014_2,개봉로23가길,136772
2014_2,개봉로2길,140829
2014_2,개봉로3길,109320
2014_2,경인로15길,202864
2014_2,경인로31길,148895
2014_2,경인로35길,188246
2014_2,경인로47길,178539
2014_2,고척로21나길,481256
2014_2,고척로27길,374975
2014_2,고척로27다길,268194
2014_2,고척로52길,344520
2014_2,공원로6가길,120094
2014_2,구로동로15길,139198
2014_2,구로동로28길,183386
2014_2,구로동로38길,205248
2014_2,구로동로41길,131884
2014_2,구로동로42길,383399
2014_2,구로동로7길,230658
2014_2,구로동로8길,876339
2014_2,구로중앙로19길,228176
2014_2,구로중앙로28길,644992
2014_2,구로중앙로34길,273422
2014_2,구로중앙로42길,68458
2014_2,구로중앙로7길,128556
2014_2,구로중앙로8길,266935
2014_2,남부순환로97길,134279
2014_2,도림로12길,256263
2014_2,도림로6길,270524
2014_2,디지털로27길,104073
2014_2,디지털로32가길,180186
2014_2,디지털로32길,425190
2014_2,부일로11길,119822
2014_2,부일로15길,126454
2014_2,부일로1길,17875
2014_2,새말로18길,180036
2014_2,신도림로13길,64561
2014_2,오류로8길,242356
2014_2,우마길,71618
2014_2,중앙로15길,99888
2014_2,중앙로1길,216187
2014_2,가산로3길,67902
2014_2,가산로5길,223750
2014_2,금하로14길,301299
2014_2,금하로1길,116872
2014_2,금하로24길,143077
2014_2,남부순환로112길,169057
2014_2,독산로108길,312911
2014_2,독산로40길,244598
2014_2,독산로50길,161083
2014_2,독산로64길,243159
2014_2,독산로70길,423365
2014_2,독산로78다길,334055
2014_2,독산로85길,72915
2014_2,문성로5길,150224
2014_2,범안로11길,127056
2014_2,범안로17길,188882
2014_2,벚꽃로56길,256257
2014_2,시흥대로120길,470236
2014_2,시흥대로138길,316330
2014_2,시흥대로141길,211626
2014_2,시흥대로150길,367233
2014_2,시흥대로153길,331533
2014_2,시흥대로22길,176446
2014_2,시흥대로36길,191352
2014_2,시흥대로62가길,233930
2014_2,시흥대로63길,150498
2014_2,시흥대로68길,187474
2014_2,시흥대로84길,280594
2014_2,시흥대로94길,385898
2014_2,가마산로61길,267397
2014_2,경인로77길,213872
2014_2,경인로80길,101480
2014_2,경인로90길,68210
2014_2,국회대로56길,291863
2014_2,당산로31길,138102
2014_2,당산로37길,108584
2014_2,당산로38길,166064
2014_2,당산로46길,595977
2014_2,대림로22길,298116
2014_2,대림로29길,647876
2014_2,대림로31길,145511
2014_2,대림로34길,181147
2014_2,대림로44길,205357
2014_2,대림로7길,116005
2014_2,대림로8길,311033
2014_2,도림로112길,181014
2014_2,도림로147길,381273
2014_2,도림로63길,169931
2014_2,도림천로21길,301244
2014_2,도신로15길,221896
2014_2,도신로29길,220035
2014_2,도신로60길,173303
2014_2,도신로62길,171283
2014_2,디지털로37길,448323
2014_2,디지털로57길,283134
2014_2,디지털로74길,194965
2014_2,선유로55길,478100
2014_2,선유서로24길,297287
2014_2,선유서로25길,166621
2014_2,선유서로28길,258433
2014_2,신길로17길,226542
2014_2,신길로39길,163345
2014_2,신길로42가길,175580
2014_2,신길로42길,397239
2014_2,신길로60길,291022
2014_2,양평로19길,268833
2014_2,양평로22라길,189044
2014_2,양평로28길,223983
2014_2,여의대방로35길,285213
2014_2,여의대방로39길,115399
2014_2,여의대방로43나길,203897
2014_2,여의대방로61길,149552
2014_2,영등포로25길,372551
2014_2,영등포로27길,109553
2014_2,영등포로35길,259088
2014_2,영등포로62길,338769
2014_2,영등포로80길,218117
2014_2,영등포로84길,305188
2014_2,영신로9길,404157
2014_2,국사봉1길,141370
2014_2,국사봉2길,63478
2014_2,국사봉길,440490
2014_2,노량진로6길,168701
2014_2,대방동27길,167077
2014_2,대방동2길,48656
2014_2,동작대로17길,190315
2014_2,동작대로29길,152397
2014_2,동작대로33길,151944
2014_2,동작대로35길,83728
2014_2,동작대로7길,383819
2014_2,등용로14길,177551
2014_2,만양로14길,138091
2014_2,만양로8길,650666
2014_2,사당로16가길,94274
2014_2,사당로16길,173210
2014_2,사당로20길,76828
2014_2,사당로23길,162883
2014_2,사당로23나길,95055
2014_2,사당로26길,100199
2014_2,사당로29길,177927
2014_2,사당로2차길,215347
2014_2,사당로30길,102925
2014_2,사당로8길,124872
2014_2,상도로15길,306836
2014_2,상도로37길,143834
2014_2,상도로47길,233295
2014_2,상도로61길,232872
2014_2,상도로62길,218936
2014_2,서달로10길,260404
2014_2,서달로14길,65660
2014_2,서달로15길,304853
2014_2,서달로8가길,117210
2014_2,성대로1길,166235
2014_2,성대로29길,103510
2014_2,신대방길,304636
2014_2,양녕로26길,25356
2014_2,여의대방로22길,85780
2014_2,여의대방로22나길,139879
2014_2,여의대방로22카길,123483
2014_2,여의대방로24길,182248
2014_2,여의대방로46길,241948
2014_2,장승배기로10길,91823
2014_2,장승배기로19길,138360
2014_2,장승배기로27길,293338
2014_2,흑석로13길,127963
2014_2,흑석로9길,346526
2014_2,관악로10길,263962
2014_2,관악로14길,306543
2014_2,관악로28길,121018
2014_2,관악로30길,243064
2014_2,관천로15길,283408
2014_2,관천로22길,477188
2014_2,구암길,239010
2014_2,국회단지길,392483
2014_2,낙성대역길,540399
2014_2,난곡로24길,163053
2014_2,난곡로26길,295592
2014_2,난곡로34길,205568
2014_2,난곡로74길,315133
2014_2,난우길,311038
2014_2,난향길,93147
2014_2,남부순환로142길,262437
2014_2,남부순환로151길,343085
2014_2,남부순환로161길,239380
2014_2,남부순환로172길,273977
2014_2,남부순환로234길,138051
2014_2,남부순환로248길,135360
2014_2,남현2길,439911
2014_2,남현3길,379454
2014_2,남현길,212577
2014_2,당곡길,242281
2014_2,대학14길,66975
2014_2,대학길,248733
2014_2,미성5길,358587
2014_2,법원단지9길,382391
2014_2,법원단지길,118830
2014_2,복은길,275163
2014_2,봉천로13길,104439
2014_2,봉천로33길,257320
2014_2,서림7길,171587
2014_2,승방길,120203
2014_2,신림동길,468991
2014_2,신림로11길,274600
2014_2,신림로28길,284382
2014_2,신림로38길,205117
2014_2,신림로48길,126064
2014_2,신림로64길,386900
2014_2,신림로65길,638912
2014_2,신사로20길,189437
2014_2,신원로3길,406157
2014_2,양녕로6길,441415
2014_2,은천로25길,143590
2014_2,인헌길,236090
2014_2,장군봉1길,160182
2014_2,장군봉2길,112462
2014_2,조원로10길,383161
2014_2,조원로18길,152697
2014_2,조원중앙로2길,330897
2014_2,중앙길,328981
2014_2,청룡8길,169834
2014_2,청룡길,269051
2014_2,청림3길,229578
2014_2,행운1길,487368
2014_2,행운길,454782
2014_2,호암로20길,534999
2014_2,호암로24길,488400
2014_2,양산길,177188
2014_2,양지길,130395
2014_2,원신길,184857
2014_2,소담길,221711
2014_2,강남대로23길,170884
2014_2,강남대로34길,207970
2014_2,강남대로8길,596682
2014_2,고무래로8길,232008
2014_2,남부순환로317길,345210
2014_2,남부순환로325길,660449
2014_2,남부순환로339길,121720
2014_2,논현로1길,145737
2014_2,논현로27길,327697
2014_2,동광로12길,276741
2014_2,동광로1길,156317
2014_2,동광로39길,171767
2014_2,동산로10길,336377
2014_2,동산로19길,198287
2014_2,방배천로4안길,75105
2014_2,마방로2길,327958
2014_2,바우뫼로39길,153831
2014_2,반포대로9길,114818
2014_2,방배로18길,128799
2014_2,방배로35길,322618
2014_2,방배로42길,246617
2014_2,사임당로17길,283239
2014_2,사평대로22길,296222
2014_2,사평대로26길,110060
2014_2,사평대로57길,73632
2014_2,서초대로15길,127558
2014_2,서초대로23길,229872
2014_2,서초대로25길,176565
2014_2,서초대로4길,320121
2014_2,서초대로64길,90964
2014_2,서초대로8길,152317
2014_2,신반포로45길,139654
2014_2,언남길,146515
2014_2,주흥15길,180394
2014_2,주흥길,195650
2014_2,청두곶길,272872
2014_2,효령로23길,223638
2014_2,효령로31길,163895
2014_2,효령로34길,130746
2014_2,효령로72길,221424
2014_2,방배중앙로21길,200382
2014_2,서초중앙로8길,379770
2014_2,강남대로118길,245469
2014_2,강남대로136길,195558
2014_2,강남대로140길,548438
2014_2,개포로17길,185738
2014_2,개포로20길,233747
2014_2,개포로28길,103666
2014_2,개포로82길,29632
2014_2,남부순환로365길,211899
2014_2,논현로106길,277943
2014_2,논현로10길,231097
2014_2,논현로115길,697890
2014_2,논현로123길,176789
2014_2,논현로139길,302467
2014_2,논현로159길,151620
2014_2,논현로26길,284240
2014_2,논현로28길,80812
2014_2,논현로63길,263989
2014_2,논현로8길,181435
2014_2,도곡로37길,485978
2014_2,도산대로15길,58009
2014_2,도산대로23길,140568
2014_2,도산대로30길,368053
2014_2,도산대로38길,221285
2014_2,도산대로50길,305106
2014_2,도산대로81길,73001
2014_2,도산대로89길,63110
2014_2,봉은사로109길,187383
2014_2,봉은사로29길,508646
2014_2,봉은사로43길,520234
2014_2,봉은사로57길,106305
2014_2,봉은사로68길,169850
2014_2,삼성로115길,228064
2014_2,삼성로147길,97040
2014_2,삼성로57길,265971
2014_2,삼성로63길,377601
2014_2,삼성로64길,192786
2014_2,삼성로69길,551302
2014_2,삼성로75길,598799
2014_2,선릉로121길,127878
2014_2,선릉로132길,502211
2014_2,선릉로133길,834944
2014_2,선릉로146길,413006
2014_2,선릉로18길,183517
2014_2,압구정로2길,174335
2014_2,언주로81길,884807
2014_2,영동대로112길,452262
2014_2,영동대로65길,302274
2014_2,일원로3길,191100
2014_2,일원로9길,312057
2014_2,테헤란로81길,172016
2014_2,학동로38길,265795
2014_2,학동로56길,268296
2014_2,학동로6길,126065
2014_2,학동로77길,142604
2014_2,거마로20길,267576
2014_2,동남로20길,284540
2014_2,마천로51길,482969
2014_2,백제고분로21길,360664
2014_2,백제고분로22길,361674
2014_2,백제고분로31길,443365
2014_2,백제고분로32길,653264
2014_2,백제고분로33길,265581
