"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","점포수","공실률","임대료"
"2014_2","군자",11215780,"능동로34길",203974,2517,742,77,50,6095984337,111,7.5,37.1
"2014_2","군자",11215750,"용마산로3길",320270,2527,827,88,44,1753547065,66,7.5,37.1
"2014_2","군자",11215750,"천호대로109길",433217,2837,1429,77,39,14950644755,364,7.5,37.1
"2014_2","군자",11215730,"서울 광진구 군자역",547626,1088,159,93,44,25267037475,334,7.5,37.1
"2014_2","군자",11215730,"어린이대공원역",367504,503,99,86,46,9056523683,199,7.5,37.1
"2014_2","군자",11215740,"긴고랑로8길",429568,2544,230,97,37,1249488941,72,7.5,37.1
"2014_2","군자",11215740,"중곡제일시장",130377,544,124,99,48,9699195250,212,7.5,37.1
"2014_2","군자",11215740,"긴고랑로7길",277362,2160,454,97,46,7616754203,213,7.5,37.1
"2014_2","군자",11215750,"용마산로21길",258807,3533,152,85,44,6480158367,171,7.5,37.1
"2014_2","동대문",11110670,"서울 종로구 동대문역_2",1044217,351,769,92,44,12621912239,370,10,34.6
"2014_2","동대문",11110670,"동묘앞역",158746,518,58,103,41,10592252655,138,10,34.6
"2014_2","명동",11140550,"서울 중구 명동역",555463,431,2745,98,46,13541765512,293,6.9,266.3
"2014_2","명동",11140550,"서울시청",728791,2,28092,115,55,40755157705,393,6.9,266.3
"2014_2","명동",11140550,"명동길",158641,92,34330,151,54,11332384810,157,6.9,266.3
"2014_2","명동",11140550,"퇴계로18길",52523,986,2637,96,46,4091921742,69,6.9,266.3
"2014_2","명동",11140550,"명동거리",4445995,37,18466,127,49,275164262611,2446,6.9,266.3
"2014_2","목동",11470510,"오목교역",177676,1109,234,78,44,10128647022,102,5,30.4
"2014_2","목동",11470510,"목동동로12길",314628,3279,387,79,39,18774374355,331,5,30.4
"2014_2","목동",11470520,"목동중앙로13나길",29358,1198,230,85,38,527098287,12,5,30.4
"2014_2","목동",11470520,"목동중앙북로16길",102870,3820,235,69,51,632890998,40,5,30.4
"2014_2","목동",11470520,"목2동시장",212359,688,171,101,47,9428178990,187,5,30.4
"2014_2","목동",11470530,"목동중앙북로8길",100161,2531,445,73,40,1645715314,71,5,30.4
"2014_2","목동",11470530,"목3동시장",195956,1047,522,98,40,17696426605,300,5,30.4
"2014_2","목동",11470540,"목동중앙서로7길",276010,4408,225,82,39,3531000824,192,5,30.4
"2014_2","목동",11470540,"목동중앙로3길",184212,2233,102,80,39,1475145874,46,5,30.4
"2014_2","목동",11470540,"목동중앙서로8가길",108877,1881,206,88,39,4493684174,91,5,30.4
"2014_2","목동",11470540,"목동중앙남로3가길",95480,2292,557,88,40,4571040243,137,5,30.4
"2014_2","목동",11470540,"목동중앙본로7길",109992,2288,85,80,50,3845845391,136,5,30.4
"2014_2","목동",11470540,"목4동시장",70732,1258,225,87,41,1671672428,91,5,30.4
"2014_2","사당",11590620,"사당로30길",102925,878,317,81,39,4327793303,125,1.5,52.3
"2014_2","사당",11590620,"관악구 사당역_2",270096,599,398,92,44,25770553798,331,1.5,52.3
"2014_2","사당",11590620,"동작대로7길",383819,2482,1518,89,45,11242241074,255,1.5,52.3
"2014_2","사당",11590620,"동작대로17길",190315,1364,1292,93,39,12995367015,119,1.5,52.3
"2014_2","사당",11590620,"사당로20길",76828,1882,160,107,41,1315127424,45,1.5,52.3
"2014_2","사당",11590620,"사당로26길",100199,2196,236,78,35,1138617123,51,1.5,52.3
"2014_2","사당",11620630,"남현3길",379454,970,675,92,48,5490559281,92,1.5,52.3
"2014_2","사당",11620630,"남현길",212577,1428,230,89,45,3611224885,67,1.5,52.3
"2014_2","사당",11620630,"승방길",120203,3050,479,80,45,3254421835,50,1.5,52.3
"2014_2","사당",11650610,"서초대로4길",320121,3038,790,86,46,6370246768,109,1.5,52.3
"2014_2","사당",11650610,"방배천로4안길",75105,928,1801,85,45,4095523963,144,1.5,52.3
"2014_2","사당",11650610,"서초대로8길",152317,4722,242,110,58,276658739,14,1.5,52.3
"2014_2","사당",11650610,"청두곶길",272872,2796,2076,75,41,2133574429,85,1.5,52.3
"2014_2","사당",11650610,"관악구 사당역_1",516577,702,4260,85,45,33891326072,384,1.5,52.3
"2014_2","서초",11650510,"교대역_2",1031448,1956,3036,82,43,32988972820,431,6.4,29.5
"2014_2","서초",11650510,"서초중앙로8길",379770,2949,5818,94,41,4789663455,90,6.4,29.5
"2014_2","서초",11650510,"남부순환로339길",121720,1410,11036,95,39,7117862165,109,6.4,29.5
"2014_2","서초",11650510,"서울 서초구 남부터미널역_3",554628,894,1797,87,43,11664541611,158,6.4,29.5
"2014_2","서초",11650510,"서초대로64길",90964,1084,512,97,43,2470421415,45,6.4,29.5
"2014_2","서초",11650510,"사임당로17길",283239,1194,1474,82,43,4919377038,94,6.4,29.5
"2014_2","서초",11650510,"서울 서초구 남부터미널역_1",339156,1022,675,112,48,37427550979,553,6.4,29.5
"2014_2","서초",11650530,"남부순환로325길",660449,1676,7835,101,42,11334235327,148,6.4,29.5
"2014_2","서초",11650530,"반포대로9길",114818,799,709,93,39,4312877009,110,6.4,29.5
"2014_2","서초",11650530,"서울 서초구 남부터미널역_2",798905,3364,9774,90,41,27929320393,457,6.4,29.5
"2014_2","서초",11650530,"서울 서초구 서초역",225400,71,10956,86,51,6897284297,74,6.4,29.5
"2014_2","서초",11650530,"교대역_3",344192,60,4450,86,42,9072794627,152,6.4,29.5
"2014_2","서초",11650530,"남부순환로317길",345210,1110,1564,109,44,7060954527,107,6.4,29.5
"2014_2","서초",11650531,"서울 강남구 강남역_2",1898418,3154,6649,86,41,142119133212,1123,6.4,29.5
"2014_2","서초",11650531,"교대역_4",1013125,520,4800,86,49,32469857143,389,6.4,29.5
"2014_2","서초",11650520,"뱅뱅사거리",812578,1569,10410,86,41,22752798116,411,6.4,29.5
"2014_2","서초",11650520,"효령로72길",221424,1886,209,87,35,6261371810,108,6.4,29.5
"2014_2","서초",11650520,"양재역_3",1060726,2028,3225,86,40,27920602062,504,6.4,29.5
"2014_2","서초",11650520,"서울 강남구 강남역_1",1308732,2413,136211,75,40,43340908252,653,6.4,29.5
"2014_2","서초",11650530,"교대역_1",1491757,1393,13593,86,42,71829412598,1041,6.4,29.5
