Date,상권,임대료
2015_4,서울역,60.1
2015_4,종로,90.2
2015_4,충무로,29.1
2015_4,소계,78
2015_4,강남대로,136
2015_4,도산대로,43.2
2015_4,서초,30.7
2015_4,신사,82
2015_4,압구정동,52.6
2015_4,청담,69.6
2015_4,테헤란로,46.4
2015_4,소계,51.9
2015_4,공덕역,39.9
2015_4,신촌,60.4
2015_4,홍대합정,47.4
2015_4,소계,43.1
2015_4,건대입구,52.1
2015_4,경희대,49.5
2015_4,군자,38.4
2015_4,목동,30.4
2015_4,사당,53.8
2015_4,성신여대,41.3
2015_4,수유,54.9
2015_4,신림,54.1
2015_4,영등포,33.6
2015_4,용산,23.7
2015_4,이태원,46
2015_4,잠실,40.7
2015_4,장안동,26.1
2015_4,천호,38.6
2015_4,청량리,43.2
2015_4,혜화동,70.2
2015_4,화곡,23.3
2016_1,광화문,70.5
2016_1,동대문,34.8
2016_1,명동,271.7
2016_1,서울역,60.2
2016_1,종로,89
2016_1,충무로,29.1
2016_1,소계,78.1
2016_1,강남대로,136
2016_1,도산대로,43.2
2016_1,서초,30.7
2016_1,신사,82
2016_1,압구정동,52.7
2016_1,청담,69.6
2016_1,테헤란로,46.4
2016_1,소계,52
2016_1,공덕역,40.4
2016_1,신촌,60.3
2016_1,홍대합정,47.4
2016_1,소계,43.1
2016_1,건대입구,52.4
2016_1,경희대,49.5
2016_1,군자,38.4
2016_1,목동,30.5
2016_1,사당,53.9
2016_1,성신여대,41.5
2016_1,수유,54.9
2016_1,신림,54.3
2016_1,영등포,33.7
2016_1,용산,23.7
2016_1,이태원,46
2016_1,잠실,40.8
2016_1,장안동,26.1
2016_1,천호,38.6
2016_1,청량리,43.2
2016_1,혜화동,70.2
2016_1,화곡,23.3
2016_2,광화문,70.5
2016_2,동대문,34.9
2016_2,명동,271.6
2016_2,서울역,61.7
2016_2,종로,88.9
2016_2,충무로,29.1
2016_2,소계,78.1
2016_2,강남대로,136
2016_2,도산대로,43.2
2016_2,서초,30.7
2016_2,신사,82
2016_2,압구정동,52.7
2016_2,청담,69.6
2016_2,테헤란로,46.4
2016_2,소계,51.1
2016_2,공덕역,40.4
2016_2,신촌,58.4
2016_2,홍대합정,47.5
2016_2,소계,43.3
2016_2,건대입구,52.5
2016_2,경희대,49.5
2016_2,군자,38.4
2016_2,목동,30.5
2016_2,사당,54
2016_2,성신여대,41.5
2016_2,수유,55.3
2016_2,신림,55
2016_2,영등포,33.7
2016_2,용산,23.7
2016_2,이태원,46.1
2016_2,잠실,40.8
2016_2,장안동,26.1
2016_2,천호,38.6
2016_2,청량리,43.5
2016_2,혜화동,70.2
2016_2,화곡,23.3
2016_3,광화문,71.2
2016_3,동대문,34.9
2016_3,명동,271.2
2016_3,서울역,61.6
2016_3,종로,88.9
2016_3,충무로,29.1
2016_3,소계,78
2016_3,강남대로,136
2016_3,도산대로,43.2
2016_3,서초,30.9
2016_3,신사,82
2016_3,압구정동,52.7
2016_3,청담,69.1
2016_3,테헤란로,46.4
2016_3,소계,51.1
2016_3,공덕역,40.4
2016_3,신촌,58.4
2016_3,홍대합정,47.5
2016_3,소계,43.1
2016_3,건대입구,52.6
2016_3,경희대,49.4
2016_3,군자,36.8
2016_3,목동,30.5
2016_3,사당,54
2016_3,성신여대,41.4
2016_3,수유,55.3
2016_3,신림,55
2016_3,영등포,33.7
2016_3,용산,23.7
2016_3,이태원,46.1
2016_3,잠실,41
2016_3,장안동,26.1
2016_3,천호,38.6
2016_3,청량리,43.5
2016_3,혜화동,70.2
2016_3,화곡,23.3
2016_4,광화문,71.3
2016_4,동대문,34.8
2016_4,명동,271.1
2016_4,서울역,61.6
2016_4,종로,88.7
2016_4,충무로,29.1
2016_4,소계,78.1
2016_4,강남대로,135.5
2016_4,도산대로,43.2
2016_4,서초,30.9
2016_4,신사,81.8
2016_4,압구정동,52.5
