Date,상권,임대료,임대료_예측_머신러닝,임대료_예측_딥러닝,임대료_차이_머신,임대료_차이_딥
2015_4,명동,270.1,229.415 ,297.440 ,40.685 ,27.340 
2015_4,목동,30.4,27.090 ,34.517 ,3.310 ,4.117 
2015_4,사당,53.8,44.092 ,51.575 ,9.708 ,2.225 
2015_4,서초,30.7,27.148 ,33.776 ,3.553 ,3.076 
2015_4,성신여대,41.3,37.576 ,43.419 ,3.724 ,2.119 
2015_4,수유,54.9,45.218 ,59.423 ,9.682 ,4.523 
2015_4,신촌,60.4,44.228 ,78.888 ,16.173 ,18.488 
2015_4,영등포,33.6,32.693 ,40.256 ,0.907 ,6.656 
2015_4,용산,23.7,22.636 ,31.780 ,1.064 ,8.080 
2015_4,이태원,46,39.686 ,50.008 ,6.314 ,4.008 
2015_4,잠실,40.7,34.637 ,38.492 ,6.063 ,2.208 
2015_4,장안동,26.1,23.862 ,29.428 ,2.238 ,3.328 
2015_4,종로,90.2,71.610 ,98.444 ,18.590 ,8.244 
2015_4,천호,38.6,34.803 ,38.526 ,3.797 ,0.074 
2015_4,청담,69.6,47.111 ,70.282 ,22.489 ,0.682 
2015_4,청량리,43.2,40.241 ,41.890 ,2.959 ,1.310 
2015_4,충무로,29.1,27.696 ,35.293 ,1.404 ,6.193 
2015_4,테헤란로,46.4,37.650 ,47.977 ,8.750 ,1.577 
2015_4,혜화동,70.2,55.769 ,65.078 ,14.431 ,5.122 
2015_4,홍대합정,47.4,41.395 ,56.082 ,6.005 ,8.682 
2015_4,화곡,23.3,23.389 ,28.488 ,0.089 ,5.188 
2016_1,건대입구,52.4,45.582 ,49.861 ,6.818 ,2.539 
2016_1,경희대,49.5,43.749 ,47.599 ,5.751 ,1.901 
2016_1,공덕역,40.4,34.963 ,39.507 ,5.437 ,0.893 
2016_1,광화문,70.5,48.864 ,76.150 ,21.636 ,5.650 
2016_1,군자,38.4,35.573 ,37.590 ,2.828 ,0.810 
2016_1,동대문,34.8,36.451 ,45.827 ,1.651 ,11.027 
2016_1,명동,271.7,241.632 ,300.946 ,30.068 ,29.246 
2016_1,목동,30.5,27.320 ,36.118 ,3.180 ,5.618 
2016_1,사당,53.9,44.397 ,51.196 ,9.503 ,2.704 
2016_1,서초,30.7,27.359 ,33.599 ,3.341 ,2.899 
2016_1,성신여대,41.5,38.414 ,43.532 ,3.087 ,2.032 
2016_1,수유,54.9,46.858 ,59.400 ,8.042 ,4.500 
2016_1,신촌,60.3,45.733 ,72.160 ,14.568 ,11.860 
2016_1,영등포,33.7,31.866 ,39.867 ,1.834 ,6.167 
2016_1,용산,23.7,23.733 ,31.590 ,0.033 ,7.890 
2016_1,이태원,46,39.467 ,49.818 ,6.533 ,3.818 
2016_1,잠실,40.8,33.832 ,39.339 ,6.968 ,1.461 
2016_1,장안동,26.1,24.478 ,29.725 ,1.622 ,3.625 
2016_1,종로,89,71.352 ,96.544 ,17.648 ,7.544 
2016_1,천호,38.6,34.795 ,39.614 ,3.805 ,1.014 
2016_1,청담,69.6,48.914 ,70.941 ,20.686 ,1.341 
2016_1,청량리,43.2,41.160 ,37.713 ,2.041 ,5.487 
2016_1,충무로,29.1,28.976 ,34.503 ,0.124 ,5.403 
2016_1,테헤란로,46.4,37.862 ,47.978 ,8.538 ,1.578 
