Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_4,경인로35길,171718,80166,91553,5839,10677,38541,46530,49482,20645
2015_4,경인로47길,129800,63234,66566,12073,17475,24246,30129,29623,16255
2015_4,고척로21나길,362224,170153,192071,20028,42467,75654,83849,90477,49746
2015_4,고척로27길,233616,108160,125460,14279,22300,48286,58249,60883,29621
2015_4,고척로27다길,252725,116597,136124,20494,24742,53129,62099,61091,31171
2015_4,고척로52길,177362,78578,98785,10898,17666,36995,44157,45263,22385
2015_4,공원로6가길,63156,30869,32285,1058,11305,14970,14172,14433,7216
2015_4,구로동로15길,134817,65923,68894,5173,13603,27740,31590,36392,20317
2015_4,구로동로28길,125380,61165,64216,4053,14068,25737,32825,32083,16614
2015_4,구로동로38길,199928,97370,102558,4718,25480,42391,52766,49954,24618
2015_4,구로동로41길,93331,46999,46332,1515,11641,20573,26024,23548,10034
2015_4,구로동로42길,193025,96540,96488,4009,24612,43646,51357,47889,21515
2015_4,구로동로7길,234077,120623,113456,5397,20726,53655,60414,64374,29521
2015_4,구로동로8길,498211,232519,265689,21614,51379,102619,112672,129513,80414
2015_4,구로중앙로19길,180744,90980,89763,5347,20192,38578,49356,45565,21707
2015_4,구로중앙로28길,277447,137181,140267,10075,42519,64568,66100,63011,31171
2015_4,구로중앙로34길,148172,74915,73259,4509,24485,34729,34222,32725,17504
2015_4,구로중앙로42길,108717,52552,56162,4188,15621,27208,27613,25677,8406
2015_4,구로중앙로7길,137842,68303,69540,9094,16939,28745,33925,30868,18276
2015_4,구로중앙로8길,279140,139790,139349,14607,34724,57587,69972,65769,36481
2015_4,남부순환로97길,145209,70164,75046,10686,15000,25326,29028,34836,30334
2015_4,도림로12길,180002,87203,92798,8588,21524,40085,42242,42107,25447
2015_4,도림로6길,434803,209318,225489,17910,85371,103309,92785,83569,51859
2015_4,디지털로27길,88922,52601,36321,1223,14302,27258,23920,16234,5986
2015_4,디지털로32가길,122133,71239,50894,1202,27560,35235,27166,22364,8612
2015_4,디지털로32길,412597,230156,182440,8989,86444,107223,91821,81753,36363
2015_4,부일로11길,60788,28549,32240,6841,2504,13333,15665,15362,7081
2015_4,부일로15길,90257,43231,47024,7938,6774,18777,24420,23851,8497
2015_4,부일로1길,17675,9770,7907,140,1616,4234,4359,5156,2171
2015_4,새말로18길,148249,75882,72366,4107,24204,32958,33342,34633,19009
2015_4,신도림로13길,58760,27486,31273,1260,8279,15340,15622,14655,3603
2015_4,오류로8길,220351,101892,118462,11663,30700,47200,46720,50467,33602
2015_4,우마길,106667,57586,49082,2371,15367,27363,27996,24051,9519
2015_4,중앙로15길,35383,9827,25556,2259,1995,7419,10230,10991,2490
2015_4,중앙로1길,229912,112313,117597,19724,29317,45562,52291,51763,31254
2015_4,가산로3길,40051,24251,15800,420,5693,11508,10930,9329,2171
2015_4,가산로5길,93647,56239,37407,508,14548,25440,22844,23848,6461
2015_4,금하로14길,140261,70191,70072,8650,16003,27248,34051,35959,18353
2015_4,금하로1길,106295,49270,57025,4699,5386,28164,32784,29267,5990
2015_4,금하로24길,137348,60210,77133,10229,16344,24330,33519,34210,18710
2015_4,남부순환로112길,157580,92273,65304,1819,24869,39049,41758,37753,12333
2015_4,독산로108길,146984,72676,74309,4260,17448,26974,36838,43016,18449
2015_4,독산로40길,124189,51375,72811,5927,9292,21264,31943,38795,16967
2015_4,독산로50길,80268,32782,47486,3366,4508,16598,21359,24642,9790
2015_4,독산로64길,174684,79988,94694,10506,20287,30992,46174,46234,20488
2015_4,독산로70길,284432,134508,149929,17166,32890,51178,73278,74860,35061
2015_4,독산로78다길,180739,84956,95779,9036,15982,26939,48744,56416,23620
2015_4,독산로85길,38878,18321,20557,1377,3508,5536,10963,12681,4811
2015_4,문성로5길,91384,44877,46507,2309,9295,14435,24987,29928,10427
2015_4,범안로11길,57786,36900,20890,133,6918,16104,16879,14841,2913
2015_4,범안로17길,116429,67532,48896,2569,15054,27643,30339,30245,10578
2015_4,벚꽃로56길,214826,130655,84170,3320,39261,64806,54254,38391,14795
2015_4,시흥대로120길,300714,150653,150064,14361,36514,53031,77183,82264,37368
2015_4,시흥대로138길,277239,143062,134178,11739,35770,52269,70436,74958,32073
2015_4,시흥대로141길,236026,128763,107261,4280,31640,49076,59770,66614,24645
2015_4,시흥대로150길,219747,112488,107256,7414,28174,40053,55256,63180,25676
2015_4,시흥대로153길,171941,96533,75408,1857,25212,37569,41683,48923,16696
2015_4,시흥대로22길,144113,86985,57126,4651,6037,29221,42737,45182,16287
2015_4,시흥대로36길,121191,72160,49032,4579,5947,24280,34733,37688,13965
2015_4,시흥대로62가길,267241,126483,140758,18398,29975,47066,63815,70368,37613
2015_4,시흥대로63길,78805,40042,38762,3992,7524,15474,20936,22427,8454
2015_4,시흥대로68길,138286,68201,70083,8013,16848,25459,33513,36093,18360
2015_4,시흥대로84길,254404,121168,133232,8955,27832,46730,68808,73614,28465
2015_4,시흥대로94길,243529,123368,120161,11152,30025,46749,62964,64695,27947
2015_4,가마산로61길,206396,97252,109144,11113,20021,43139,54838,51780,25506
2015_4,경인로77길,172051,107530,64518,474,17681,41787,45483,47956,18672
2015_4,경인로80길,98884,59522,39365,579,11383,25006,26049,26081,9785
2015_4,경인로90길,54270,29305,24964,1097,10774,12957,12376,11816,5249
2015_4,국회대로56길,294285,187070,107214,1782,41637,73026,75330,69331,33180
2015_4,당산로31길,121427,66169,55259,1758,15514,31897,32575,27671,12012
2015_4,당산로37길,121503,66846,54659,2852,17798,32772,32382,25336,10365
2015_4,당산로38길,181628,100418,81210,4249,28880,48265,46696,37502,16037
2015_4,당산로46길,477917,253239,224678,19277,88596,111773,107832,97661,52778
