상권_코드_명,행정동_코드
양평로28길,11560620
여의대방로35길,11560680
여의대방로39길,11560690
망원로2길,11440690
매봉산로2길,11440740
효령로23길,11650600
효령로31길,11650600
효령로34길,11650620
효령로72길,11650520
방배중앙로21길,11650590
청두곶길,11650610
서초중앙로8길,11650510
도신로29길,11560585
곰달래로3길,11470560
진황도로27길,11740620
시흥대로84길,11545620
시흥대로94길,11545620
논현로10길,11680690
논현로115길,11680521
논현로123길,11680521
마포대로4길,11440585
만리재옛길,11440565
망원로11길,11440700
구암길,11620565
도곡로37길,11680650
도산대로15길,11680510
우장산로6길,11500615
월정로20길,11500540
초록마을로3길,11500590
초록마을로8길,11500590
초원로16길,11500630
도신로15길,11560585
공항대로8길,11500620
도림로6길,11530595
범안로17길,11545610
벚꽃로56길,11545510
시흥대로120길,11545640
시흥대로138길,11545630
시흥대로141길,11545610
문성로5길,11545630
범안로11길,11545610
남부순환로248길,11620625
삼성로63길,11680630
모래내로15길,11410690
북아현로4길,11410555
세검정로1길,11410660
세무서2길,11410655
도산대로23길,11680510
도산대로30길,11680531
도산대로38길,11680531
도산대로50길,11680531
도산대로81길,11680565
동광로12길,11650621
개포로28길,11680690
개포로82길,11680670
오금로46길,11710632
풍성로25길,11710510
수색로8길,11410710
신촌로37길,11410555
연희로10길,11410615
응암로1길,11410720
증가로10길,11410700
논현로139길,11680521
독산로85길,11545630
중앙로36길,11470620
중앙로45길,11470640
중앙로47길,11470640
중앙로51길,11470570
중앙로55길,11470570
동교로38길,11440710
가재울로6길,11410700
독립문로8길,11410520
명지대길,11410700
동남로82길,11740560
동남로85길,11740550
명일로13길,11740700
남부순환로365길,11680655
곰달래로31길,11500550
곰달래로47길,11500550
곰달래로53길,11500570
곰달래로60길,11500570
개봉로17다길,11530750
개봉로1길,11530760
도림로112길,11560585
논현로106길,11680640
도림로147길,11560605
도림로63길,11560670
도림천로21길,11560710
난우길,11620765
성안로3길,11740640
강남대로34길,11650651
남부순환로88길,11470640
논현로159길,11680510
논현로26길,11680656
논현로28길,11680656
논현로63길,11680640
논현로8길,11680690
공항대로59다길,11500510
공항대로61길,11500510
강동대로53길,11740660
이문로42길,11230750
용마산로100길,11260660
용마산로112길,11260655
용마산로118길,11260655
동일로100길,11260520
창경궁로43길,11290525
대흥로28길,11440610
성균관로5길,11110650
숭인동길,11110710
옥인길,11110515
율곡로10길,11110615
율곡로16길,11110630
이화장길,11110640
퇴계로12길,11140540
퇴계로18길,11140550
퇴계로46길,11140580
뚝섬로24길,11215847
오목로3길,11470590
오목로5길,11470590
은행정로5길,11470620
신목로5길,11470630
상도로61길,11590530
상도로62길,11590530
연서로5길,11380625
은평로10길,11380580
은평로13길,11380510
상도로47길,11590530
도봉로109길,11320680
도봉로114길,11320511
서초대로8길,11650610
신반포로45길,11650540
언남길,11650652
주흥15길,11650560
주흥길,11650560
구로동로7길,11530595
독산로64길,11545620
독산로70길,11545640
신월로20길,11470610
오목로23길,11470650
오목로30길,11470650
한천로130길,11305590
한천로132길,11305590
노해로33길,11305620
솔샘로65길,11305555
수유로12길,11305610
오패산로30길,11305545
삼양로27길,11305575
삼양로41길,11305534
사당로8길,11590651
구로중앙로42길,11530510
구로중앙로7길,11530550
구로중앙로8길,11530550
남부순환로97길,11530750
대방동2길,11590660
사당로2차길,11590651
사당로30길,11590620
구로동로8길,11530550
국사봉1길,11590550
오패산로67길,11305590
인수봉로56길,11305660
인수봉로72길,11305660
인수봉로79길,11305660
한천로139가길,11305630
한천로140길,11305630
덕릉로40길,11305600
덕릉로41길,11305590
도봉로13길,11305555
한천로101가길,11290760
한천로76길,11290810
삼양로54길,11305555
삼양로77길,11305610
역말로9길,11380570
한글비석로24길,11350670
한글비석로44길,11350670
삼양로8길,11290685
성북로8길,11290525
서울시립대로4길,11230560
약령시로17길,11230545
왕산로32길,11230536
왕산로33길,11230545
왕산로43길,11230705
한천로109길,11305606
솔매로41길,11305535
솔매로45길,11305535
솔매로50길,11305545
종암로24가길,11290705
종암로5길,11290705
지봉로20길,11290610
화랑로13길,11290725
화랑로19길,11290770
화랑로1길,11290715
장충단로8길,11140580
청구로17길,11140625
청구로1길,11140645
화랑로14길,11290725
가좌로7길,11380600
갈현로1길,11380631
노해로60길,11320680
노해로63다길,11320515
목동중앙서로7길,11470540
목동중앙서로8가길,11470540
신목로2길,11470630
왕십리로26길,11200535
마조로16길,11200540
마조로1길,11200550
매봉길,11200645
무수막길,11200615
무학로6길,11200535
무학봉28길,11200520
무학봉길,11200520
시흥대로62가길,11545670
시흥대로63길,11545670
신길로17길,11560670
신길로39길,11560650
신길로42가길,11560630
신길로42길,11560660
법원단지9길,11620775
봉천로33길,11620605
서림7길,11620665
승방길,11620630
선릉로18길,11680670
압구정로2길,11680510
언주로81길,11680650
월드컵로16길,11440660
사평대로26길,11650581
사평대로57길,11650560
서초대로15길,11650621
가로공원로76가길,11500540
가로공원로80길,11500540
고척로52길,11530720
북촌로11길,11110600
북촌로5길,11110540
능동로13길,11215710
능동로19길,11215710
능동로34길,11215780
동일로123길,11260610
조원중앙로2길,11620725
중앙길,11620615
청룡8길,11620595
법원단지길,11620775
복은길,11620665
동광로39길,11650581
동산로10길,11650652
동산로19길,11650652
방배천로4안길,11650610
마방로2길,11650652
지양로7길,11470611
월드컵로19길,11440690
공항대로55길,11500520
공항대로59길,11500520
시흥대로150길,11545630
시흥대로153길,11545510
시흥대로22길,11545690
시흥대로36길,11545690
신림로65길,11620695
북촌로5나길,11110540
삼청로5길,11110540
서달로10길,11590605
서달로14길,11590605
서달로15길,11590605
서달로8가길,11590605
도봉로99길,11305630
삼각산로28길,11305630
동호로20길,11140580
동호로8길,11140635
성수이로7길,11200690
성수일로6길,11200690
답십리로64길,11230650
고산자로6길,11200560
금호산2길,11200615
여의대방로43나길,11560690
신림동길,11620695
양재대로101길,11740660
양재대로116길,11740685
양재대로124길,11740685
양재대로133길,11740600
학동로56길,11680590
양재대로95길,11740660
양재대로96길,11740700
올림픽로48길,11740640
올림픽로71길,11740610
올림픽로77길,11740610
올림픽로78길,11740610
올림픽로80길,11740610
삼양로20길,11305555
화랑로32길,11290810
화랑로40길,11290810
상계로12길,11350640
상계로1길,11350640
마장로39길,11200540
천호대로129길,11215860
여의대방로46길,11590660
동일로163길,11260630
망우로68길,11260655
망우로73길,11260655
면목로21길,11260540
면목로33길,11260540
면목로45길,11260575
면목로56길,11260565
양재대로91길,11740660
강서로5가길,11500540
강남대로8길,11650652
부일로1길,11530790
새말로18길,11530560
신도림로13길,11530510
오류로8길,11530780
올림픽로98길,11740570
중앙로1길,11530720
사당로26길,11590620
시흥대로68길,11545670
조원로10길,11620725
목동동로12길,11470510
목동동로8길,11470630
목동로19길,11470650
능동로3길,11215847
능동로4길,11215840
동일로18길,11215847
동일로24길,11215710
뚝섬로23길,11215840
영신로9길,11560515
강서로15길,11500540
강서로17가길,11500540
강서로18길,11500593
한천로40길,11230660
경희대로3길,11230710
경희대로4길,11230710
난계로30길,11230536
창신2길,11110680
우마길,11530595
개봉로3길,11530760
목동남로4길,11470680
양화로1길,11440680
양화진길,11440680
와우산로29가길,11440660
와우산로29길,11440660
와우산로3길,11440655
영등포로62길,11560515
월드컵로25길,11440700
월드컵로36길,11440730
월드컵로7길,11440680
월드컵로8길,11440660
당산로31길,11560550
당산로37길,11560560
조원로18길,11620725
우사단로10길,11170700
우사단로14길,11170685
난계로11길,11140670
난계로21길,11140670
성대로1길,11590560
서초대로23길,11650621
면목로49길,11260575
구로동로15길,11530530
구로동로28길,11530530
구로동로38길,11530530
구로동로41길,11530530
구로동로42길,11530530
서초대로25길,11650621
양지길,11620745
월드컵로10길,11440660
월드컵로11길,11440690
국회대로7길,11500550
신림로11길,11620735
신림로28길,11620665
신림로38길,11620665
신림로48길,11620645
관악로10길,11620585
관악로14길,11620585
학동로6길,11680521
학동로77길,11680565
개봉로20길,11530750
개봉로23가길,11530740
개봉로2길,11530760
신목로6길,11470630
신월로15길,11470590
공원로6가길,11530560
동호로10길,11140645
동호로11길,11140625
동호로15길,11140625
상계로9가길,11350640
한천로46길,11230660
휘경로14길,11230720
휘경로23길,11230740
휘경로2길,11230740
도봉로143길,11320690
도봉로147길,11320690
청룡길,11620595
신림로64길,11620695
성미산로32길,11440710
성산로4길,11440720
고무래로8길,11650581
남부순환로317길,11650530
남부순환로325길,11650530
남부순환로339길,11650510
논현로1길,11650652
천호대로170길,11740650
천호대로187길,11740685
증산로17길,11380632
갈현로33길,11380552
갈현로41길,11380551
석계로1길,11350560
한글비석로22길,11350624
고척로21나길,11530740
고척로27길,11530740
고척로27다길,11530730
방배로18길,11650600
면목로55길,11260565
창신5길,11110680
창신길,11110680
뚝섬로48길,11215830
뚝섬로54길,11215830
뚝섬로58길,11215830
뚝섬로64길,11215830
면목로48길,11260575
중앙로25길,11470640
남현3길,11620630
경인로15길,11530770
경인로31길,11530740
여의대방로61길,11560630
영등포로25길,11560550
영등포로27길,11560550
영등포로35길,11560535
종로65길,11110710
지봉로8길,11110700
창경궁로35길,11110650
은평로20길,11380580
은평로3길,11380625
다산로39길,11140615
강서로47길,11500611
강서로47라길,11500611
행운길,11620575
호암로20길,11620735
호암로24길,11620735
영등포로84길,11560630
신사로20길,11620685
신원로3길,11620655
양녕로6길,11620615
은천로25길,11620565
인헌길,11620625
장군봉1길,11620595
장군봉2길,11620595
백제고분로33길,11710600
백제고분로34길,11710600
까치산로4길,11500590
남부순환로11길,11500620
가마산로61길,11560650
경인로77길,11560605
경인로80길,11560605
경인로90길,11560605
연서로11길,11380560
연서로13길,11380560
연서로16길,11380625
경인로35길,11530740
경인로47길,11530720
솔샘로6길,11290640
아리랑로4길,11290575
다산로33길,11140615
다산로36길,11140665
다산로38길,11140665
한강대로52길,11170625
한강대로62길,11170625
한강대로7길,11170625
한강대로88길,11170530
한남대로20길,11170685
모래내로7길,11440730
방울내로9안길,11440700
백범로16길,11440600
성미산로11길,11440720
성미산로1길,11440720
도산대로89길,11680565
등촌로13길,11500570
국회대로56길,11560535
만양로8길,11590510
진황도로47길,11740685
천중로39길,11740600
천중로51길,11740530
천호대로162길,11740650
당산로38길,11560560
안암로5길,11290600
오패산로19길,11290715
강서로45길,11500560
