상권_코드_명,행정동_코드
방이동 먹자골목,11710562
학동역,11680521
강남구 논현역_4,11650540
잠실역,11710710
서울 강남구 강남구청역_1,11680531
서울 강남구 학동역_3,11680531
서울 동작구 노량진1동_1,11590510
서울 강남구 학동역_2,11680531
강남구 신사역_1,11650540
창동역,11320514
서울 노원구 노원역_1,11350695
서울 노원구 노원역_2,11350695
서울 노원구 노원역_3,11350640
서울 종로구 종로5가역_1,11110630
서울 은평구 연신내역_3,11380530
서울 강북구 수유역_3,11305630
구의시장,11215860
동부시장,11230600
답십리시장,11230610
전곡시장,11230660
청량리청과물시장,11230545
은행정로7길,11470650
성대로29길,11590560
신대방길,11590670
양녕로26길,11590560
증산로13길,11380640
증산로15길,11380632
천호대로17길,11230536
천호대로45길,11230536
휘경로3길,11230740
인촌로17가길,11290600
인촌로1길,11290610
개운사길,11290600
인촌로24길,11290600
서울 강남구 강남구청역_2,11680531
영등포역_1,11560535
강남구 신사역_2,11680521
문래동 주민센터,11560605
영등포역_2,11560535
선릉역_2,11680630
서울 송파구 석촌역_2,11710580
서울 강남구 선릉역_1,11680590
회기시장,11230710
이경시장,11230720
이문제일시장,11230750
동부골목시장,11260590
동원시장,11260565
면목골목시장,11260570
합동(새벽)시장,11140680
마장축산물시장,11200540
행당시장,11200560
금남시장,11200615
뚝도시장,11200670
방학로15길,11320710
방학로5길,11320670
방학로6가길,11320690
삼양로144길,11320660
시루봉로23길,11320521
방학로10길,11320700
우이천로32길,11320660
인촌로5길,11290600
인촌로6길,11290610
천호대로77길,11230650
천호대로97길,11230650
한천로14길,11230650
한천로33길,11230570
보국문로16길,11290650
보문로13길,11290610
서울 서초구 강남역,11680640
고속터미널역,11650581
서울 강남구 선릉역_2,11680640
삼성역_1,11680610
서울 강남구 강남역,11680640
오류동역,11530770
은마아파트입구사거리_2,11680610
성동용답상가시장,11200790
동부청과시장,11230536
용두시장,11230536
청량리수산시장,11230536
경동시장,11230545
동서시장,11230545
서울약령시장,11230545
청량리농수산물시장,11230545
청량리전통시장,11230545
청량리종합시장,11230545
전농로터리시장,11230560
답십리현대시장,11230610
한아름시장,11215710
보문로32길,11290575
삼선교로10길,11290555
삼선교로10다길,11290555
삼선교로16가길,11290555
우사단로4길,11170700
원효로19길,11170570
원효로41길,11170570
보문로26길,11290600
보문로31길,11290555
동작구 총신대입구역_1,11590630
서울 관악구 신림역_4,11620695
뱅뱅사거리_1,11680655
뱅뱅사거리,11650520
개봉동 현대아파트 인근,11530760
교대역_1,11650530
은마아파트입구사거리_3,11680630
은마아파트입구사거리_4,11680610
서울 강남구 한티역,11680630
서울 광진구 건대입구역_2,11215710
서울 마포구 마포역_2,11440590
서울 마포구 공덕역_1,11440565
삼정역_1,11680640
삼정역_2,11680531
삼성역_2,11680610
화양제일골목시장,11215710
중곡제일시장,11215740
면곡골목시장,11215760
신성골목시장,11215770
자양골목시장,11215820
자양종합시장,11215830
노룬산골목시장,11215847
능동로골목시장,11215840
영동교골목시장,11215847
남대문시장,11140540
신중부시장,11140590
인현시장,11140590
평화시장,11140590
원효로53길,11170590
원효로89길,11170560
이촌로22길,11170640
이태원로27길,11170650
아차산로51길,11215850
아차산로55길,11215850
아차산로65길,11215870
보라매공원,11590680
뱅뱅사거리_2,11680640
서울 강남구 대치역_1,11680600
관악구 사당역_2,11590620
가산디지털단지역_2,11545510
관악구 사당역_1,11650610
서울 관악구 서울대입구역_1,11620595
구로디지털단지역,11530595
강남구 논현역_1,11650560
신천역,11710650
선정릉역_1,11680590
강남구 논현역_2,11680521
신도림역,11530510
잠실역 롯데월드,11710680
방산종합시장,11140605
통인시장,11110515
광장시장,11110615
동대문종합시장,11110630
종로신진시장,11110630
충신시장,11110630
동문시장,11110670
창신골목시장,11110680
신설종합시장,11110710
후암시장,11170510
신흥시장,11170520
만리시장,11170555
용문전통시장,11170590
이촌종합시장,11170630
이태원시장,11170650
아차산로78길,11215810
용마산로21길,11215750
용마산로3길,11215750
자양로11길,11215820
장월로1길,11290725
장위로50길,11290780
정릉로26길,11290630
가산디지털단지역_3,11545510
서울 관악구 서울대입구역_2,11620575
양재역_1,11650651
서울 금천구 시흥1동_4,11545670
양재 화물트럭터미널앞_1,11650652
양재 화물트럭터미널앞_2,11650652
양재동 꽃시장,11650652
서울 금천구 독산1동_1,11545610
서울 관악구 대학동_1,11620735
포스코사거리_1,11680590
포스코사거리_2,11680580
강남구 논현역_3,11680521
선정릉역_2,11680590
서울 강남구 학동역_1,11680521
코엑스,11680580
삼성역_3,11680580
서울 강남구 대치역_2,11680600
서울 서초구 서초역,11650530
서울 송파구 가락시장역,11710620
이태원제일시장,11170660
보광시장,11170700
남평화시장,11140615
동평화시장,11140615
제일평화시장,11140615
청평화시장,11140615
약수시장,11140635
백학시장,11140650
서울중앙시장,11140670
조양시장,11215847
연서시장,11380530
갈현시장,11380551
역촌중앙시장,11380552
대조시장,11380570
해등로16길,11320515
공릉로58길,11350611
정릉로27길,11290630
정릉로8길,11290640
종암로16길,11290705
우이천로4다길,11320513
관악구 사당역_3,11620630
포이사거리_2,11650652
포이사거리_1,11680690
장지역,11710642
가산디지털단지역_1,11545510
구로디지탈1단지,11530540
서울 서초구 남부터미널역_2,11650530
서울 관악구 신림역_3,11620695
서울 강남구 수서역,11680750
교대역_2,11650510
역삼역_1,11680640
금호산길,11200615
서울 강동구 고덕역,11740540
낙성대시장,11620585
봉천제일종합시장,11620595
도곡시장,11680650
교대역_3,11650530
가락시장,11710631
방배동카페골목,11650590
서울 강남구 강남역_1,11650520
서울 광진구 군자역,11215730
학동사거리_1,11680531
길동복조리시장,11740685
사가정시장,11260575
중화제일시장,11260630
태능시장,11260610
묵1동도깨비시장,11260620
우림골목시장,11260655
유영시장,11260660
돈암제일시장,11290555
영천시장,11410520
동일로173가길,11350595
동일로192길,11350595
동일로242길,11350630
이태원로54길,11170685
장문로45길,11170700
청파로47길,11170555
서울 서초구 남부터미널역_3,11650510
동작구 총신대입구역_2,11650621
양재역_3,11650520
양재역_2,11650651
서울 관악구 신림역_1,11620645
서울 관악구 신림역_2,11620645
서울 서초구 남부터미널역_1,11650510
